Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Afghanistan,2026-05-31,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,,5865.76448332399,199.454047538094,,,1443989,35955,0,0,2010.41253489401,50.058818101879,0,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Anguilla,2026-05-31,3904,,12,,,Region of the Americas,15753,,247825.810956643,761.759664825748,,,18765246,113264,0,0,,,,,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Aruba,2026-05-31,44224,,292,,High income,Region of the Americas,106537,,415104.611543408,2740.83182368567,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Armenia,2026-05-31,454900,,8785,,Upper middle income,European Region,2790974,,162989.694637069,3147.64666385283,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Albania,2026-05-31,337234,,3608,,Upper middle income,European Region,2854710,,118132.489815078,1263.87619057628,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Angola,2026-05-31,107487,,1937,,Lower middle income,African Region,34503774,,3115.22443892659,56.1387864411586,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Austria,2026-05-31,6083790,,22534,,High income,European Region,8922082,,681880.081353209,2525.64367823564,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
United Arab Emirates,2026-05-31,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,,113936.303175231,250.823665837528,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Antigua & Barbuda,2026-05-31,9106,,146,,High income,Region of the Americas,93219,,97683.948551261,1566.20431457106,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Andorra,2026-05-31,48015,,159,,High income,European Region,79034,,607523.34438343,2011.79239314725,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Burundi,2026-05-31,54569,,15,,Low income,African Region,12551213,,4347.70726940894,1.19510361269465,,,1443989,35955,0,0,2010.41253489401,50.058818101879,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Bosnia & Herzegovina,2026-05-31,404289,,16419,,Upper middle income,European Region,3270943,,123600.136107538,5019.65335378819,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Argentina,2026-05-31,10119442,32,130848,1,Upper middle income,Region of the Americas,45276780,,223501.803794351,2889.95816398604,0.706764041082427,0.0220863762838258,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Belgium,2026-05-31,4908203,,34339,,High income,European Region,11611419,,422704.839089865,2957.34741808904,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Azerbaijan,2026-05-31,836510,,10353,,Upper middle income,European Region,10312992,,81112.2514203444,1003.87937855474,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Saint Barth�lemy,2026-05-31,5507,,5,,,,,,,,,,18765246,113264,0,0,,,,,1310974,4286,0,0,,,,
American Samoa,2026-05-31,8359,,34,,High income,Western Pacific Region,45035,,185611.191295659,754.968357943822,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Bangladesh,2026-05-31,2052280,,29531,,Lower middle income,South-East Asia Region,169356251,,12118.1237059859,174.372069679318,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,61961470,809348,758,0,30129.9745679337,393.561267294142,0.368592299738752,0
Caribbean Netherlands,2026-05-31,11922,,41,,,Region of the Americas,26706,,446416.535609975,1535.23552759679,,,18765246,113264,0,0,,,,,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Bhutan,2026-05-31,62954,,21,,Lower middle income,South-East Asia Region,777486,,80971.2329225221,27.0101326583373,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,61961470,809348,758,0,30129.9745679337,393.561267294142,0.368592299738752,0
Australia,2026-05-31,11861161,,25236,,High income,Western Pacific Region,25921089,,457587.295039958,973.570207640582,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Burkina Faso,2026-05-31,22231,,400,,Low income,African Region,22100683,,1005.89651460093,18.0989881624925,,,1443989,35955,0,0,2010.41253489401,50.058818101879,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Benin,2026-05-31,28036,,163,,Lower middle income,African Region,12996895,,2157.1306069642,12.5414570172337,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Bahrain,2026-05-31,696614,,1536,,High income,Eastern Mediterranean Region,1463265,,476068.244644682,1049.70733257476,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Switzerland,2026-05-31,4491969,,14170,,High income,European Region,8691406,,516828.807675076,1630.34611431108,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Bulgaria,2026-05-31,1341094,,38778,,High income,European Region,6885868,,194760.341034711,5631.53403463441,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Bahamas,2026-05-31,39127,,849,,High income,Region of the Americas,407906,,95921.6093903988,2081.36188239447,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Chile,2026-05-31,5410525,0,62893,0,High income,Region of the Americas,19493184,,277559.838351703,3226.40980560179,0,0,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Belarus,2026-05-31,994102,,7118,,Upper middle income,European Region,9578167,,103788.334448543,743.148454187529,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
China,2026-05-31,99381761,0,122398,0,Upper middle income,Western Pacific Region,1425893465,,69697.8865808884,85.8395125613399,0,0,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Belize,2026-05-31,71493,0,688,,Upper middle income,Region of the Americas,400031,,178718.649304679,1719.86671032995,0,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Bermuda,2026-05-31,18860,,165,,High income,Region of the Americas,64185,,293838.124172314,2570.6940874036,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Brazil,2026-05-31,38029477,1464,703986,2,Upper middle income,Region of the Americas,214326223,,177437.349791771,3284.64706812848,6.83070871827009,0.00933156928725422,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Brunei,2026-05-31,350550,,182,,High income,Western Pacific Region,445373,,787093.065812252,408.646235851747,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Bolivia,2026-05-31,1212186,0,22389,0,Lower middle income,Region of the Americas,12079472,,100350.909377496,1853.47505255197,0,0,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Côte d’Ivoire,2026-05-31,88548,,835,,Lower middle income,African Region,27478249,,3222.4760755316,30.3876713541682,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Barbados,2026-05-31,109142,0,593,,High income,Region of the Americas,281200,,388129.445234708,2108.81934566145,0,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Botswana,2026-05-31,330699,,2801,,Upper middle income,African Region,2588423,,127760.802619974,1082.12606672093,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Congo - Kinshasa,2026-05-31,101010,,1474,,Low income,African Region,95894118,,1053.34927841977,15.3711200513883,,,1443989,35955,0,0,2010.41253489401,50.058818101879,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Cameroon,2026-05-31,125325,,1974,,Lower middle income,African Region,27198628,,4607.76918600453,72.5771902906279,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Canada,2026-05-31,4819055,,55282,,High income,Region of the Americas,38155012,,126302.017674637,1448.87911449222,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Djibouti,2026-05-31,15690,,189,,Lower middle income,Eastern Mediterranean Region,1105557,,14191.9412567602,170.954550511643,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Cuba,2026-05-31,1113834,,8530,,Upper middle income,Region of the Americas,11256372,,98951.420582049,757.793008262342,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Central African Republic,2026-05-31,15493,,113,,Low income,African Region,5457154,,2839.02561664926,20.7067640018955,,,1443989,35955,0,0,2010.41253489401,50.058818101879,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Cook Islands,2026-05-31,7375,,2,,,Western Pacific Region,17003,,433746.985826031,117.626301240957,,,18765246,113264,0,0,,,,,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Denmark,2026-05-31,3453680,,10012,,High income,European Region,5854240,,589945.065456831,1710.21345213042,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Ecuador,2026-05-31,1082259,36,36064,0,Upper middle income,Region of the Americas,17797737,,60808.7983320576,2026.32503222179,2.02272906943169,0,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Congo - Brazzaville,2026-05-31,25234,,389,,Lower middle income,African Region,5835806,,4323.99569142634,66.6574591410338,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Algeria,2026-05-31,272440,,6881,,Upper middle income,African Region,44177969,,6166.87471531342,155.756368066626,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Egypt,2026-05-31,516023,,24830,,Lower middle income,Eastern Mediterranean Region,109262178,,4722.79620858372,227.251556343678,,,78324071,931885,0,0,23058.4887670107,274.345543206581,0,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Cape Verde,2026-05-31,64550,,417,,Upper middle income,African Region,587925,,109792.915763065,709.274142109963,,,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Colombia,2026-05-31,6403442,66,142813,0,Upper middle income,Region of the Americas,51516562,,124298.706113191,2772.17645074996,1.2811413929369,0,222792058,2531307,2375,3,88414.3310932605,1004.54126240303,0.942511318543023,0.00119054061289645,193334362,3071050,1617,50,188388.489897778,2992.48651877296,1.57563396911671,0.0487209019516608
Estonia,2026-05-31,617836,,3442,,High income,European Region,1328701,,464992.500193798,2590.50004478058,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
France,2026-05-31,39060446,,168207,,High income,European Region,64531444,,605293.227283121,2606.58974251374,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
Cyprus,2026-05-31,718887,,1364,,High income,European Region,1244188,,577796.120843474,1096.29734413127,,,457906083,3502928,0,47,367629.052816714,2812.31927361215,0,0.037733863173828,281544541,2282570,0,0,302472.985646635,2452.24347236567,0,0
