Country,Date,Confirmed Cases,Confirmed Deaths,New Cases,New Deaths,Income,Region,Population,Case_Change_7_Day_Rolling_Average,Death_Change_7_Day_Rolling_Average,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,Case_7_Day_income,Death_7_Day_income,cpm_income,dpm_income,Case_7_Day_income_per_million,Death_7_Day_income_per_million,cases_region,deaths_region,Case_Change_7_Day_region,Death_7_Day_region,cpm_region,dpm_region,Case_7_Day_region_per_million,Death_7_Day_region_per_million
"",2024-01-07,29,0,,,,,,107.285714285714,1.85714285714286,,,,,,1212840,3965,19.2857142857143,0,,,,,1310894,4286,6,0.285714285714286,,,,
"",2024-01-07,5,0,,,,,,104.857142857143,1.85714285714286,,,,,,1212840,3965,19.2857142857143,0,,,,,1310894,4286,6,0.285714285714286,,,,
"",2024-01-07,712,13,,,,,,205.857142857143,3.71428571428571,,,,,,1212840,3965,19.2857142857143,0,,,,,1310894,4286,6,0.285714285714286,,,,
"",2024-01-07,4,0,,,,,,104.857142857143,1.85714285714286,,,,,,1212840,3965,19.2857142857143,0,,,,,1310894,4286,6,0.285714285714286,,,,
"",2024-01-07,2,0,,,,,,104.857142857143,1.85714285714286,,,,,,1212840,3965,19.2857142857143,0,,,,,1310894,4286,6,0.285714285714286,,,,
"",2024-01-07,12,0,,,,,,106.285714285714,1.85714285714286,,,,,,1212840,3965,19.2857142857143,0,,,,,1310894,4286,6,0.285714285714286,,,,
Afghanistan,2024-01-07,230642,7973,267,,Low income,Eastern Mediterranean Region,40099462,278.142857142857,1.71428571428571,,5751.7479910329,198.830597777097,6.65844344744575,,1937144,43494,343,2,2697.01402122504,60.5550892650014,0.477546227477249,0.00278452610773906,23409768,351870,624.285714285714,12.7142857142857,30745.3474601545,462.13039833648,0.819909073858615,0.0166983770190885
Albania,2024-01-07,334653,3604,57,,Upper middle income,European Region,2854710,46,0,,117228.369957018,1262.47499746034,19.9670019021197,,251075444,2822757,100680.142857143,226.142857142857,99638.5043276695,1120.20228294592,39.954599661215,0.0897440852483372,278463447,2266031,202589.571428571,1197.14285714286,299162.860371508,2434.47505571713,217.648945751969,1.28613175364513
Algeria,2024-01-07,272010,6881,,,Lower middle income,African Region,44177969,4.57142857142857,0,,6157.14135704156,155.756368066626,,,91895260,1187758,5434.14285714286,36.7142857142857,27053.8264086341,349.674169782711,1.59980348863327,0.0108086305260062,9032943,174375,2095.28571428571,2.28571428571429,7769.2176498889,149.979616576721,1.80215138665091,0.00196593865046803
American Samoa,2024-01-07,8359,34,,,High income,Western Pacific Region,45035,0,0,,185611.191295659,754.968357943822,,,428026896,2959670,184643.285714286,2903.71428571429,343640.602731539,2376.16559190816,148.240520832104,2.33124165006453,208014759,419274,68982.2857142857,131.428571428571,108098.424420883,217.882899360239,35.8478236569044,0.0682991032156332
