Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Aruba,2025-12-07,44224,,292,,High income,Region of the Americas,106537,,415104.611543408,2740.83182368567,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Afghanistan,2025-12-07,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,,5865.76448332399,199.454047538094,,,1443768,35955,0,0,2010.10484475911,50.058818101879,0,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Anguilla,2025-12-07,3904,,12,,,Region of the Americas,15753,,247825.810956643,761.759664825748,,,18765230,113264,1,0,,,,,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Armenia,2025-12-07,454865,,8785,,Upper middle income,European Region,2790974,,162977.154212114,3147.64666385283,,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Angola,2025-12-07,107487,,1937,,Lower middle income,African Region,34503774,,3115.22443892659,56.1387864411586,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Albania,2025-12-07,337234,1,3608,,Upper middle income,European Region,2854710,,118132.489815078,1263.87619057628,0.350298278984555,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
United Arab Emirates,2025-12-07,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,,113936.303175231,250.823665837528,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Austria,2025-12-07,6083629,24,22534,,High income,European Region,8922082,,681862.03623773,2525.64367823564,2.68995510240771,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Andorra,2025-12-07,48015,,159,,High income,European Region,79034,,607523.34438343,2011.79239314725,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Antigua & Barbuda,2025-12-07,9106,,146,,High income,Region of the Americas,93219,,97683.948551261,1566.20431457106,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Azerbaijan,2025-12-07,836510,,10353,,Upper middle income,European Region,10312992,,81112.2514203444,1003.87937855474,,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Burundi,2025-12-07,54569,,15,,Low income,African Region,12551213,,4347.70726940894,1.19510361269465,,,1443768,35955,0,0,2010.10484475911,50.058818101879,0,0,9050765,174424,8,0,7784.54631928893,150.02176138654,0.0068807852766381,0
Argentina,2025-12-07,10118132,123,130825,1,Upper middle income,Region of the Americas,45276780,,223472.870641419,2889.45017733152,2.71662428291058,0.0220863762838258,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
Bosnia & Herzegovina,2025-12-07,404289,,16407,,Upper middle income,European Region,3270943,,123600.136107538,5015.98468698476,,,222663271,2530824,573,2,88363.2223752895,1004.34958536435,0.227393257063222,0.000793693741930967,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
Bangladesh,2025-12-07,2052275,,29531,,Lower middle income,South-East Asia Region,169356251,,12118.0941824226,174.372069679318,,,78324000,931883,1,0,23058.4678647175,274.344954409587,0.000294398496817291,0,61952087,809340,0,0,30125.4119009832,393.557377137944,0,0
Belgium,2025-12-07,4903806,219,34339,,High income,European Region,11611419,,422326.160135983,2957.34741808904,18.8607438935758,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,281438122,2281383,10452,45,302358.656054076,2450.96823743237,11.2289431531852,0.0483450480188801
American Samoa,2025-12-07,8359,,34,,High income,Western Pacific Region,45035,,185611.191295659,754.968357943822,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,208610782,421686,0,0,108408.157958678,219.136336380557,0,0
Bahrain,2025-12-07,696614,,1536,,High income,Eastern Mediterranean Region,1463265,,476068.244644682,1049.70733257476,,,457798628,3495070,10351,183,367542.782768472,2806.01049282875,8.31028122792115,0.146921211932139,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Saint Barth�lemy,2025-12-07,5507,,5,,,,,,,,,,18765230,113264,1,0,,,,,1310969,4286,0,0,,,,
Caribbean Netherlands,2025-12-07,11922,,41,,,Region of the Americas,26706,,446416.535609975,1535.23552759679,,,18765230,113264,1,0,,,,,193214261,3063902,466,140,188271.461316872,2985.52137862995,0.454078806189479,0.13641852546465
