Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,income_pop,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,region_pop,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Armenia,2026-08-30,454904,0,8785,,Upper middle income,European Region,2790974,162991.127828493,3147.64666385283,0,,241133059,2672638,16825,4,2519863638,95692.8999504854,1060.62802752345,6.67694860399426,0.00158738748386193,281553380,2282887,991,7,930808880,302482.4816884,2452.5840363706,1.06466539081578,0.0075203408029369
Aruba,2026-08-30,44224,,292,,High income,Region of the Americas,106537,415104.611543408,2740.83182368567,,,457915632,3503973,1052,66,1245565549,367636.719213723,2813.15824993165,0.84459625657164,0.0529879780738862,193915121,3077788,817,62,1026253579,188954.391943709,2999.05214751997,0.796099537890138,0.0604139184200594
Anguilla,2026-08-30,3904,,12,,,Region of the Americas,15753,247825.810956643,761.759664825748,,,18263907,105690,0,0,,,,,,193915121,3077788,817,62,1026253579,188954.391943709,2999.05214751997,0.796099537890138,0.0604139184200594
Afghanistan,2026-08-30,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,5865.76448332399,199.454047538094,,,1905764,43239,0,0,718255072,2653.32480659461,60.2000621862647,0,0,23417911,351975,0,0,761408471,30756.0421139575,462.268300663548,0,0
Austria,2026-08-30,6083796,0,22534,,High income,European Region,8922082,681880.753841985,2525.64367823564,0,,457915632,3503973,1052,66,1245565549,367636.719213723,2813.15824993165,0.84459625657164,0.0529879780738862,281553380,2282887,991,7,930808880,302482.4816884,2452.5840363706,1.06466539081578,0.0075203408029369
Albania,2026-08-30,337234,,3608,,Upper middle income,European Region,2854710,118132.489815078,1263.87619057628,,,241133059,2672638,16825,4,2519863638,95692.8999504854,1060.62802752345,6.67694860399426,0.00158738748386193,281553380,2282887,991,7,930808880,302482.4816884,2452.5840363706,1.06466539081578,0.0075203408029369
United Arab Emirates,2026-08-30,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,113936.303175231,250.823665837528,,,457915632,3503973,1052,66,1245565549,367636.719213723,2813.15824993165,0.84459625657164,0.0529879780738862,23417911,351975,0,0,761408471,30756.0421139575,462.268300663548,0,0
Angola,2026-08-30,107487,,1937,,Lower middle income,African Region,34503774,3115.22443892659,56.1387864411586,,,60701165,796870,72,0,3396756474,17870.3317310583,234.597330158794,0.0211966917708449,0,9051407,174424,0,0,1162657993,7785.09850230738,150.02176138654,0,0
Antigua & Barbuda,2026-08-30,9106,,146,,High income,Region of the Americas,93219,97683.948551261,1566.20431457106,,,457915632,3503973,1052,66,1245565549,367636.719213723,2813.15824993165,0.84459625657164,0.0529879780738862,193915121,3077788,817,62,1026253579,188954.391943709,2999.05214751997,0.796099537890138,0.0604139184200594
Burundi,2026-08-30,54569,,15,,Low income,African Region,12551213,4347.70726940894,1.19510361269465,,,1905764,43239,0,0,718255072,2653.32480659461,60.2000621862647,0,0,9051407,174424,0,0,1162657993,7785.09850230738,150.02176138654,0,0
