"Country","Date","Policy Category","Policy Type","Policy Value","Policy Value Description","Policy Value Description KFF","Income","Region"
"Afghanistan",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","Eastern Mediterranean Region"
"United Arab Emirates",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","High income","Eastern Mediterranean Region"
"Burundi",2020-01-01,"Closure Policies","Cancel public events",0,"No measures","No restriction","Low income","African Region"
"Burundi",2020-01-01,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Low income","African Region"
"Burundi",2020-01-01,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Low income","African Region"
"Burundi",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Low income","African Region"
"Burkina Faso",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Low income","African Region"
"Belarus",2020-01-01,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Upper middle income","European Region"
"Belarus",2020-01-01,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Upper middle income","European Region"
"Belarus",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Upper middle income","European Region"
"Belarus",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Upper middle income","European Region"
"Brunei",2020-01-01,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","Western Pacific Region"
"Cameroon",2020-01-01,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Lower middle income","African Region"
"Cameroon",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Lower middle income","African Region"
"Congo (Kinshasa)",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Congo (Kinshasa)",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Low income","African Region"
"Comoros",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Lower middle income","African Region"
"Djibouti",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","Eastern Mediterranean Region"
"Dominican Republic",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Upper middle income","Region of the Americas"
"Eritrea",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Eritrea",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Low income","African Region"
"Ethiopia",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Ghana",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","African Region"
"Gambia",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","African Region"
"Greenland",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","High income",NA
"Haiti",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Low income","Region of the Americas"
"Iceland",2020-01-01,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","High income","European Region"
"Iceland",2020-01-01,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Kiribati",2020-01-01,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Lower middle income","Western Pacific Region"
"Kiribati",2020-01-01,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","Western Pacific Region"
"Kiribati",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","Western Pacific Region"
"Lebanon",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Upper middle income","Eastern Mediterranean Region"
"Liberia",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","African Region"
"Libya",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Upper middle income","Eastern Mediterranean Region"
"Libya",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Upper middle income","Eastern Mediterranean Region"
"Sri Lanka",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","South-East Asia Region"
"Lesotho",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","African Region"
"Latvia",2020-01-01,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","High income","European Region"
"Mozambique",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Mozambique",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","African Region"
"Malawi",2020-01-01,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Low income","African Region"
"Niger",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Nicaragua",2020-01-01,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Lower middle income","Region of the Americas"
"Nicaragua",2020-01-01,"Closure Policies","Cancel public events",0,"No measures","No restriction","Lower middle income","Region of the Americas"
"Nicaragua",2020-01-01,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Lower middle income","Region of the Americas"
"Nicaragua",2020-01-01,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Lower middle income","Region of the Americas"
"Nicaragua",2020-01-01,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","Region of the Americas"
"Nicaragua",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","Region of the Americas"
"Norway",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","High income","European Region"
"West Bank and Gaza",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Lower middle income",NA
"Solomon Islands",2020-01-01,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Lower middle income","Western Pacific Region"
"Sierra Leone",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Somalia",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","Eastern Mediterranean Region"
"South Sudan",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","African Region"
"Syria",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","Eastern Mediterranean Region"
