Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Alabama,Yes,0.79,0.19,NR,0.02,<.01,<.01,0.01,0.69,0.31,NR,NR,1
Alaska,Yes,0.32,0.01,0.03,0.03,0.33,<.01,0.3,0.73,0.27,0.72,0.28,
Arizona,,0.76,0.02,0.13,0.04,0.05,<.01,NR,0.64,0.36,0.64,0.36,
Arkansas,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.36,0.03,0.19,0.14,<.01,<.01,0.27,0.85,0.15,0.85,0.15,
Colorado,,0.87,0.03,0.06,0.02,0.01,<.01,0.02,0.86,0.14,0.86,0.14,
Connecticut,,0.66,0.04,0.06,0.02,<.01,NR,0.22,0.89,0.11,0.89,0.11,
Delaware,,0.72,0.1,0.03,0.03,NR,NR,0.12,0.85,0.15,0.85,0.15,
District of Columbia,,0.33,0.26,0.08,NR,NR,NR,0.42,0.82,0.18,0.46,0.54,
Florida,Yes,0.8,0.07,0.17,NR,<.01,NR,0.13,0.85,0.15,0.61,0.39,
Georgia,,0.69,0.19,0.02,0.04,<.01,<.01,0.07,0.92,0.08,0.68,0.32,
Hawaii,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Idaho,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Illinois,,0.74,0.08,0.09,0.05,<.01,<.01,0.03,0.93,0.07,0.93,0.07,
Indiana,Yes,0.91,0.05,0.02,0.02,NR,NR,0.03,0.96,0.04,0.92,0.08,
Iowa,Yes,0.96,0.01,0.02,0.01,<.01,<.01,0.01,0.83,0.17,0.77,0.23,
Kansas,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Kentucky,Yes,0.88,0.04,NR,0.01,<.01,<.01,0.07,0.89,0.11,NR,NR,
Louisiana,Yes,0.66,0.23,NR,0.02,<.01,<.01,0.09,0.86,0.14,NR,NR,
Maine,,0.97,0.01,0.01,0.01,0.01,<.01,NR,0.75,0.25,0.68,0.32,
Maryland,Yes,0.64,0.17,0.04,0.06,<.01,<.01,0.12,0.94,0.06,0.88,0.12,
Massachusetts,,0.82,0.06,0.05,0.05,<.01,<.01,0.02,0.83,0.17,0.83,0.17,
Michigan,,0.75,0.07,NR,0.02,0.01,NR,0.15,0.58,0.42,NR,NR,
Minnesota,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Mississippi,Yes,0.69,0.25,0.01,0.01,<.01,<.01,0.04,0.84,0.16,0.91,0.09,
Missouri,Yes,0.85,0.06,0.03,0.01,<.01,<.01,0.08,0.75,0.25,0.67,0.33,
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.9,0.03,0.03,0.01,<.01,<.01,0.05,0.96,0.04,0.95,0.05,
Nevada,,0.63,0.05,0.13,0.13,0.01,NR,0.05,0.91,0.09,NR,NR,
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,0.66,0.05,0.06,0.07,NR,NR,0.16,0.85,0.15,0.85,0.15,
New Mexico,,0.45,0.01,0.36,0.02,0.12,NR,0.03,0.89,0.11,0.89,0.11,
New York,Yes,0.81,0.08,0.09,0.1,NR,NR,0.01,0.97,0.03,0.97,0.03,
North Carolina,Yes,0.77,0.16,0.03,0.02,0.01,NR,0.04,1,<.01,0.99,0.01,
North Dakota,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2
Ohio,Yes,0.84,0.06,0.02,0.02,<.01,<.01,0.07,0.93,0.07,0.78,0.22,
Oklahoma,,0.85,0.04,0.04,0.02,0.06,NR,0.03,0.77,0.23,0.68,0.32,
Oregon,Yes,0.79,0.02,0.05,0.04,0.02,0.01,0.07,0.88,0.12,0.88,0.12,3
Pennsylvania,Yes,0.89,0.03,0.02,<.01,<.01,<.01,0.07,0.8,0.2,0.65,0.35,4
Rhode Island,,0.79,0.04,0.09,0.02,<.01,<.01,0.06,0.85,0.15,0.85,0.15,
South Carolina,Yes,0.69,0.15,0.02,NR,NR,NR,0.16,0.92,0.08,0.86,0.14,5
South Dakota,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Tennessee,Yes,0.79,0.09,0.02,0.01,NR,NR,0.11,0.91,0.09,0.84,0.16,
Texas,,0.51,0.07,0.23,0.07,NR,NR,0.12,0.72,0.28,0.72,0.28,
Utah,,0.87,0.01,0.05,0.02,0.01,<.01,0.04,0.69,0.31,0.69,0.31,3
Vermont,Yes,0.97,0.01,0.01,0.01,<.01,<.01,0.01,0.87,0.13,0.79,0.21,
Virginia,,0.71,0.13,0.06,0.04,NR,0.01,0.05,0.71,0.29,0.71,0.29,
Washington,,0.67,0.02,0.05,0.08,0.02,<.01,0.15,0.9,0.1,0.9,0.1,
West Virginia,Yes,0.96,0.02,NR,NR,NR,NR,0.01,0.95,0.05,NR,NR,
Wisconsin,Yes,0.95,0.03,0.02,0.02,0.01,NR,NR,0.88,0.12,0.93,0.07,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,
KFF analysis of publicly available data from state websites.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,
*NR*: Data are not reported on the state website.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,
