Location,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,% of Cases with Known Race,% of Cases with Unknown Race
Alabama,NR,0.65,NR,0.27,NR,0.04,NR,0.01,NR,0,NR,NA,NR,0.02,0.46,0.54
Alaska,NR,0.6,NR,0.02,NR,0.07,NR,0.06,NR,0.15,NR,0.01,NR,0.08,0.36,0.64
Arizona,0.45,0.54,0.04,0.04,0.41,0.32,0.02,0.03,0.05,0.04,0,0,0.03,0.02,0.73,0.27
Arkansas,0.64,0.72,0.2,0.15,0.13,0.08,0.01,0.02,0,0.01,0.01,0,0.01,0.02,0.86,0.14
California,0.17,0.36,0.04,0.05,0.63,0.4,0.06,0.15,0,0,0,0,0.09,0.03,0.72,0.28
Colorado,0.5,0.68,0.03,0.04,0.41,0.22,0.02,0.03,0,0.01,0,0,0.03,0.03,0.54,0.46
Connecticut,NR,0.66,NR,0.1,NR,0.17,NR,0.05,NR,0,NR,NA,NR,0.03,0.39,0.61
Delaware,NR,0.61,NR,0.22,NR,0.1,NR,0.04,NR,0,NR,NA,NR,0.03,0.21,0.79
District of Columbia,0.19,0.37,0.56,0.45,0.2,0.11,0.02,0.04,0,0,0,NA,0.04,0.03,0.81,0.19
Florida,0.37,0.53,0.15,0.15,0.42,0.27,0.01,0.03,0,0,0,0,0.05,0.02,0.82,0.18
Georgia,NR,0.52,NR,0.31,NR,0.1,NR,0.04,NR,0,NR,0,NR,0.02,0.4,0.6
Hawaii,0.12,0.2,0.01,0.01,0.09,0.1,0.48,0.39,NR,0,NR,0.1,0.29,0.18,0.67,0.33
Idaho,0.76,0.82,0.01,0.01,0.18,0.13,0.01,0.01,0.01,0.01,0,NA,0.04,0.03,0.52,0.48
Illinois,0.5,0.61,0.14,0.14,0.3,0.18,0.03,0.06,0,0,0,0,0.03,0.02,0.58,0.42
Indiana,0.8,0.79,0.07,0.09,0.1,0.07,0.02,0.02,0,0,0,NA,0.02,0.02,0.57,0.43
Iowa,0.84,0.85,0.04,0.04,0.09,0.06,0.02,0.02,0,0,0,0,0.01,0.02,0.57,0.43
Kansas,0.73,0.76,0.05,0.05,0.17,0.12,0.02,0.03,0,0.01,0,NA,0.02,0.03,0.73,0.27
Kentucky,0.89,0.84,0.05,0.08,0.04,0.04,0.01,0.02,0,0,0,NA,0.02,0.02,0.77,0.23
Louisiana,NR,0.59,NR,0.32,NR,0.05,NR,0.02,NR,0,NR,NA,NR,0.02,0.19,0.81
Maine,0.92,0.93,0.05,0.01,0.02,0.02,0.01,0.01,0,0.01,NR,NA,0.01,0.02,0.68,0.32
Maryland,NR,0.5,NR,0.3,NR,0.11,NR,0.06,NR,0,NR,NA,NR,0.03,0.36,0.64
Massachusetts,0.49,0.7,0.08,0.07,0.28,0.12,0.04,0.07,0,0,0,0,0.12,0.03,0.77,0.23
Michigan,0.75,0.75,0.1,0.13,0.08,0.05,0.02,0.03,0,0,0,NA,0.06,0.03,0.78,0.22
Minnesota,0.73,0.79,0.08,0.06,0.1,0.06,0.04,0.05,0.01,0.01,0,NA,0.04,0.03,0.73,0.27
Mississippi,0.4,0.57,0.55,0.38,0.04,0.03,0,0.01,0.01,0,NR,NA,0,0.01,0.68,0.32
Missouri,0.54,0.79,0.25,0.11,0.13,0.04,0.02,0.02,NR,0,NR,0,0.06,0.03,0.63,0.37
Montana,0.83,0.86,0,0.01,0.03,0.04,0,0.01,0.1,0.06,0,NA,0.03,0.03,0.63,0.37
Nebraska,0.73,0.79,0.03,0.05,0.21,0.11,0.02,0.02,0,0.01,NR,NA,0,0.02,0.58,0.42
Nevada,0.33,0.48,0.08,0.09,0.48,0.29,0.07,0.08,0,0.01,0.01,0.01,0.03,0.04,0.69,0.31
New Hampshire,0.85,0.9,0.02,0.01,0.09,0.04,0.02,0.03,0,NA,NR,NA,0.02,0.02,0.58,0.42
New Jersey,NR,0.54,NR,0.12,NR,0.21,NR,0.1,NR,0,NR,NA,NR,0.02,0.45,0.55
New Mexico,0.17,0.37,0.01,0.02,0.61,0.49,0.01,0.02,0.18,0.09,0,NA,0.01,0.02,0.67,0.33
New York,NR,0.55,NR,0.14,NR,0.19,NR,0.09,NR,0,NR,NA,NR,0.03,0.38,0.62
North Carolina,0.54,0.63,0.2,0.21,0.2,0.1,0.01,0.03,0.01,0.01,0,0,0.04,0.03,0.65,0.35
North Dakota,NR,0.84,NR,0.02,NR,0.04,NR,0.01,NR,0.05,NR,NA,NR,0.03,,1
Ohio,0.74,0.79,0.14,0.12,0.05,0.04,0.02,0.02,0,0,0,NA,0.06,0.03,0.67,0.33
Oklahoma,0.64,0.65,0.06,0.07,0.14,0.11,0.02,0.02,0.1,0.08,0,0,0.04,0.07,0.71,0.29
Oregon,0.57,0.75,0.03,0.02,0.33,0.13,0.03,0.05,0.01,0.01,0.01,0,0.02,0.04,0.72,0.28
Pennsylvania,NR,0.76,NR,0.1,NR,0.08,NR,0.04,NR,0,NR,0,NR,0.02,0.35,0.65
Rhode Island,NR,0.71,NR,0.06,NR,0.17,NR,0.03,NR,0,NR,NA,NR,0.03,0.45,0.55
South Carolina,0.6,0.64,0.26,0.26,0.09,0.06,0.01,0.02,0,0,0,NA,0.04,0.02,0.64,0.36
South Dakota,0.8,0.82,0.02,0.02,0.05,0.04,0.01,0.01,0.12,0.08,NR,NA,0,0.02,0.62,0.38
Tennessee,0.71,0.74,0.16,0.16,0.08,0.06,0.01,0.02,0,0,0,NA,0.03,0.02,0.72,0.28
Texas,0.33,0.41,0.15,0.12,0.51,0.4,0.01,0.05,NR,0,NR,0,0,0.02,0.65,0.35
Utah,0.7,0.78,0.01,0.01,0.22,0.14,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.03,0.9,0.1
Vermont,0.89,0.93,0.03,0.01,0.02,0.02,0.04,0.02,NR,0.01,NR,NA,0.02,0.02,0.81,0.19
