Location,Race Categories Include Hispanic Individuals,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,Unknown Race % of Cases,Unknown Ethnicity% of Cases
Alabama,Yes,0.32,0.68,0.3,0.27,0.08,0.04,<.01,0.01,NR,<.01,NR,NA,0.06,0.04,0.31,0.39
Alaska,Yes,0.39,0.64,0.02,0.03,0.06,0.07,0.04,0.06,0.13,0.16,0.04,0.01,0.05,0.1,0.34,0.41
Arizona,,0.16,0.54,0.02,0.04,0.23,0.32,0.01,0.03,0.06,0.04,NR,<.01,0.02,0.02,0.5,0.5
Arkansas,Yes,0.49,0.77,0.21,0.15,0.24,0.08,0.01,0.02,<.01,0.01,0.06,<.01,0.14,0.06,0.09,0
California,,0.11,0.37,0.03,0.05,0.36,0.39,0.04,0.15,<.01,<.01,<.01,<.01,0.1,0.03,0.36,0.36
Colorado,,0.33,0.68,0.05,0.04,0.36,0.22,0.02,0.03,0.01,<.01,<.01,<.01,0.02,0.03,0.2,0.2
Connecticut,,0.36,0.66,0.13,0.1,0.19,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.3,0.3
Delaware,,0.33,0.62,0.25,0.21,0.26,0.09,0.01,0.04,NR,<.01,NR,NA,0.05,0.03,0.09,0.09
District of Columbia,Yes,0.2,0.42,0.49,0.46,0.27,0.11,0.02,0.04,<.01,<.01,<.01,NA,0.26,0.08,0.03,0.13
Florida,,0.21,0.53,0.14,0.15,0.25,0.26,NR,0.03,NR,<.01,NR,<.01,0.04,0.02,0.36,0.43
Georgia,,0.23,0.52,0.26,0.31,0.14,0.1,0.01,0.04,<.01,<.01,<.01,<.01,0.03,0.02,0.34,0.42
Hawaii,Yes,0.16,0.23,0.01,0.02,NR,0.1,0.28,0.39,NR,<.01,0.29,0.1,0.02,0.26,0.24,NR
Idaho,Yes,0.48,0.9,0.01,0.01,0.18,0.13,0.01,0.02,0.01,0.01,<.01,NA,0.15,0.06,0.34,0.47
Illinois,,0.22,0.61,0.17,0.14,0.31,0.17,0.03,0.06,<.01,<.01,<.01,<.01,0.04,0.02,0.23,0.23
Indiana,Yes,0.46,0.83,0.12,0.09,0.11,0.07,0.01,0.02,NR,<.01,NR,NA,0.17,0.05,0.24,0.55
Iowa,Yes,0.66,0.9,0.08,0.03,0.21,0.06,0.05,0.03,0.01,<.01,0.01,NA,0.01,0.03,0.18,0.16
Kansas,Yes,0.65,0.84,0.07,0.06,0.35,0.12,0.04,0.03,0.01,0.01,NR,NA,0.05,0.06,0.18,0.22
Kentucky,Yes,0.51,0.87,0.08,0.08,0.1,0.04,0.02,0.01,<.01,<.01,<.01,NA,0.04,0.03,0.34,0.35
Louisiana,Yes,0.32,0.62,0.4,0.32,NR,0.05,0.02,0.02,<.01,0.01,<.01,NA,0.09,0.04,0.17,NR
Maine,Yes,0.6,0.95,0.23,0.01,0.04,0.01,0.03,0.01,<.01,<.01,<.01,NA,0.04,0.02,0.11,0.17
Maryland,,0.21,0.5,0.29,0.29,0.26,0.1,0.02,0.06,NR,<.01,NR,NA,0.05,0.03,0.17,0.17
Massachusetts,,0.31,0.71,0.09,0.07,0.2,0.12,0.02,0.07,NR,<.01,NR,NA,0.05,0.03,0.33,0.33
Michigan,Yes,0.41,0.78,0.27,0.14,0.08,0.05,0.02,0.03,<.01,0.01,NR,<.01,0.13,0.04,0.17,0.27
Minnesota,Yes,0.44,0.83,0.2,0.07,0.2,0.05,0.07,0.05,0.01,0.01,<.01,NA,0.13,0.05,0.15,0.17
Mississippi,,0.29,0.57,0.46,0.38,0.04,0.03,<.01,0.01,0.03,<.01,NR,NA,0.07,0.01,0.11,0.3
Missouri,Yes,0.47,0.82,0.24,0.11,0.11,0.04,NR,0.02,NR,<.01,NR,<.01,0.09,0.04,0.2,0.27
Montana,Yes,0.58,0.89,0.01,<.01,0.05,0.04,<.01,0.01,0.11,0.06,NR,NA,0.01,0.04,0.3,0.31
Nebraska,Yes,0.62,0.86,0.07,0.04,0.44,0.11,0.06,0.02,0.01,0.01,<.01,NA,0.07,0.06,0.17,0.19
