Location,Race Categories Include Hispanic Individuals,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,Unknown Race % of Deaths,Unknown Ethnicity % of Deaths,Footnotes
Alabama,Yes,0.53,0.68,0.41,0.27,0.03,0.04,<.01,0.01,NR,<.01,NR,NA,0.02,0.04,0.03,0.12,
Alaska,Yes,0.46,0.64,0,0.03,0,0.07,0.08,0.06,0.33,0.16,0.13,0.01,0,0.1,0,0,
Arizona,,0.39,0.54,0.03,0.04,0.28,0.32,0.01,0.03,0.12,0.04,NR,<.01,0.02,0.02,0.15,0.15,
Arkansas,Yes,0.6,0.77,0.25,0.15,0.09,0.08,0.02,0.02,<.01,0.01,0.07,<.01,0.06,0.06,0,NR,
California,,0.29,0.37,0.08,0.05,0.45,0.39,0.12,0.15,<.01,<.01,0.01,<.01,0.02,0.03,0.02,0.02,
Colorado,,0.63,0.68,0.07,0.04,0.23,0.22,0.03,0.03,0.01,<.01,<.01,<.01,0.02,0.03,0.02,0.02,
Connecticut,,0.73,0.66,0.15,0.1,0.09,0.17,0.01,0.05,<.01,<.01,NR,NA,0.01,0.02,0.01,0.01,
Delaware,,0.62,0.62,0.25,0.21,0.07,0.09,<.01,0.04,NR,<.01,NR,NA,0.01,0.03,0.04,0.04,
District of Columbia,,0.11,0.37,0.74,0.45,0.13,0.11,0.01,0.04,NR,NA,NR,NA,0,0.03,0.01,0.01,
Florida,,0.47,0.53,0.2,0.15,0.25,0.26,NR,0.03,NR,<.01,NR,<.01,0.04,0.02,0.05,0.1,
Georgia,,0.46,0.52,0.45,0.31,0.06,0.1,0.02,0.04,<.01,<.01,<.01,<.01,0.01,0.02,0.01,0.02,
Hawaii,Yes,NR,0.23,NR,0.02,NR,0.1,NR,0.39,NR,<.01,NR,0.1,NR,0.26,NR,NR,
Idaho,Yes,0.9,0.9,0.02,0.01,0.11,0.13,0.01,0.02,0.02,0.01,NR,NA,0.02,0.06,0.05,0.05,
Illinois,,0.45,0.61,0.27,0.14,0.21,0.17,0.05,0.06,<.01,<.01,<.01,<.01,0.01,0.02,0.01,0.01,
Indiana,Yes,0.65,0.83,0.14,0.09,0.02,0.07,0.01,0.02,NR,<.01,NR,NA,0.13,0.05,0.07,0.46,
Iowa,Yes,0.8,0.9,0.05,0.03,0.07,0.06,0.03,0.03,0.01,<.01,0.01,NA,<.01,0.03,0.1,0.12,
Kansas,Yes,0.72,0.84,0.18,0.06,0.16,0.12,0.03,0.03,0.01,0.01,NR,NA,0.04,0.06,0.03,0.04,
Kentucky,Yes,0.75,0.87,0.13,0.08,0.04,0.04,0.01,0.01,0,<.01,NR,NA,0.02,0.03,0.08,0.12,
Louisiana,Yes,0.48,0.62,0.5,0.32,0.02,0.05,0.01,0.02,<.01,0.01,<.01,NA,0.01,0.04,<.01,0.08,
Maine,Yes,0.87,0.95,0.03,0.01,0,0.01,NR,0.01,NR,<.01,NR,NA,0,0.02,0.1,0.19,
Maryland,,0.43,0.5,0.41,0.29,0.11,0.1,0.04,0.06,NR,<.01,NR,NA,0.01,0.03,<.01,<.01,
Massachusetts,,0.75,0.71,0.08,0.07,0.07,0.12,0.03,0.07,NR,<.01,NR,NA,0.06,0.03,0.01,0.01,
