State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.239,0.292,0.291,0.266,NR,NR,NR,NR,0.02,0.01,0,0.013899,0.72,0.57,0.684,0.680907,1
Alaska,0.015,0.032,NA,0.023,0.046,0.097,0.039,0.07,0.05,0.051434577,0.11,0.060212,0.37,0.38,0.38,0.649745,
Arizona,0.024,0.038,0.032,0.043,0.135,0.36,0.31,0.318,0.04,0.017573291,0.02,0.032547,0.57,0.45,0.51,0.541516,
Arkansas,0.12,0.179,0.147,0.153,0.153,0.106,0.039,0.078,0.02,0.01025437,0.01,0.015645,0.82,0.73,0.79,0.770207,
California,0.034,0.041,0.062,0.053,0.239,0.554,0.476,0.395,0.14,0.068458572,0.13,0.147274,0.34,0.2,0.32,0.363519,
Colorado,0.028,0.038,0.045,0.038,0.093,0.357,0.246,0.218,0.03,0.019201544,0.03,0.032126,0.82,0.54,0.65,0.677886,
Connecticut,0.06,0.107,0.126,0.1,0.081,0.227,0.102,0.169,0.03,0.016498981,0.01,0.045914,0.75,0.47,0.75,0.656815,
Delaware,0.132,0.235,0.215,0.223,0.054,0.173,0.042,0.097,0.04,0.021912398,0.01,0.039584,0.72,0.51,0.73,0.677756,
District of Columbia,0.371,0.491,0.692,0.463,0.095,0.219,0.148,0.112,NR,NR,NR,NR,0.44,0.26,0.13,0.413906,
Florida,0.077,0.144,0.169,0.158,0.21,0.368,0.252,0.266,NR,NR,NR,NR,0.8,0.4,0.56,0.747495,
Georgia,0.236,0.32,0.34,0.318,NR,NR,NR,NR,0.07,0.026461264,0.02,0.041356,0.61,0.47,0.58,0.579853,7
Hawaii,0.01,0.03,NA,0.013,NR,NR,NR,NR,0.54,0.313802555,0.51,0.399855,0.29,0.19,0.08,0.225478,
