Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.32,0.2,1.6,-11.96,0.19,1.69,-13.01,0.33,0.96,1.45,
Alabama,Yes,0.22,0.19,1.17,-3.31,NR,NR,NR,0.32,0.69,10.09,1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.
Alaska,Yes,0.18,0.21,0.84,3.52,0.18,1.02,-0.35,0.25,0.71,7.38,
Arizona,,0.33,0.17,1.87,-15.16,0.13,2.47,-19.45,0.37,0.89,4.14,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.34,0.23,1.44,-10.24,0.22,1.53,-11.67,0.35,0.96,1.37,
Colorado,,0.39,0.24,1.62,-15.01,0.14,2.82,-25.29,0.31,1.28,-8.58,
Connecticut,,0.37,0.2,1.91,-17.81,0.16,2.37,-21.62,0.23,1.61,-14.11,
Delaware,Yes,0.35,0.19,1.8,-15.59,0.16,2.14,-18.66,0.31,1.14,-4.29,
District of Columbia,Yes,0.24,0.18,1.34,-6,0.15,1.55,-8.45,NR,NR,NR,
Florida,Yes,0.31,0.14,2.18,-16.86,0.18,1.74,-13.2,NR,NR,NR,
Georgia,Yes,0.3,0.21,1.42,-8.8,NR,NR,NR,0.46,0.65,16.04,
Hawaii,Yes,0.34,0.2,1.7,-14.06,NR,NR,NR,0.37,0.94,2.38,
Idaho,Yes,0.2,0.15,1.32,-4.8,0.1,1.91,-9.55,0.28,0.72,7.65,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.33,0.2,1.66,-13.04,0.16,2.02,-16.6,0.34,0.96,1.46,
Iowa,Yes,0.34,0.12,2.92,-22.38,0.12,2.79,-21.85,0.23,1.45,-10.55,
Kansas,Yes,0.29,0.19,1.56,-10.35,0.2,1.42,-8.51,0.29,1.01,-0.34,
Kentucky,Yes,0.3,0.2,1.53,-10.43,NR,NR,NR,0.26,1.14,-3.76,
Louisiana,Yes,0.29,0.25,1.14,-3.45,NR,NR,NR,0.44,0.65,15.13,
Maine,,0.33,0.21,1.59,-12.4,0.24,1.41,-9.81,0.31,1.1,-2.91,
