Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.39,0.25,1.54,-0.14,0.27,1.45,-0.12,0.48,0.82,0.09,
Alabama,Yes,0.26,0.23,1.13,-0.03,NR,NR,NR,0.41,0.63,0.16,1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.
Alaska,Yes,0.22,0.27,0.8,0.05,0.23,0.94,0.01,0.32,0.68,0.1,
Arizona,,0.37,0.22,1.71,-0.15,0.17,2.2,-0.2,0.44,0.83,0.08,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.49,0.33,1.5,-0.17,0.29,1.69,-0.2,0.54,0.91,0.05,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.48,0.32,1.49,-0.16,0.19,2.51,-0.29,0.43,1.11,-0.05,
Connecticut,,0.54,0.31,1.75,-0.23,0.32,1.7,-0.22,0.52,1.04,-0.02,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.43,0.27,1.61,-0.16,0.26,1.67,-0.17,0.47,0.92,0.04,
District of Columbia,Yes,0.33,0.23,1.48,-0.11,0.26,1.27,-0.07,NR,NR,NR,
Florida,Yes,0.38,0.19,2.05,-0.19,0.26,1.47,-0.12,NR,NR,NR,
Georgia,Yes,0.34,0.25,1.34,-0.09,0.2,1.71,-0.14,0.56,0.61,0.22,
Hawaii,Yes,0.34,0.12,2.83,-0.22,NR,NR,NR,0.43,0.79,0.09,3. HI is excluded from the total across states because data on number of people vaccinated by R/E are not available.
Idaho,Yes,0.24,0.21,1.12,-0.02,0.15,1.62,-0.09,0.36,0.66,0.12,
Illinois,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Indiana,Yes,0.38,0.25,1.53,-0.13,0.24,1.6,-0.14,0.47,0.82,0.08,
Iowa,Yes,0.4,0.16,2.55,-0.24,0.18,2.17,-0.21,0.35,1.15,-0.05,
Kansas,Yes,0.33,0.24,1.41,-0.1,0.26,1.27,-0.07,0.39,0.87,0.05,
Kentucky,Yes,0.34,0.25,1.37,-0.09,NR,NR,NR,0.36,0.95,0.02,
Louisiana,Yes,0.32,0.29,1.1,-0.03,0.25,1.29,-0.07,0.53,0.6,0.21,
Maine,,0.42,0.34,1.21,-0.07,0.37,1.11,-0.04,0.54,0.77,0.13,
Maryland,Yes,0.5,0.36,1.39,-0.14,0.31,1.61,-0.19,0.57,0.89,0.06,
Massachusetts,,0.55,0.38,1.47,-0.18,0.31,1.76,-0.24,0.53,1.04,-0.02,
Michigan,,0.32,0.2,1.59,-0.12,0.18,1.75,-0.14,0.36,0.89,0.04,
Minnesota,,0.46,0.26,1.76,-0.2,0.25,1.85,-0.21,0.43,1.06,-0.03,
Mississippi,Yes,0.3,0.27,1.09,-0.03,0.22,1.37,-0.08,0.56,0.54,0.25,
Missouri,Yes,0.32,0.23,1.41,-0.09,0.35,0.92,0.03,0.46,0.7,0.14,
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.41,0.28,1.47,-0.13,0.27,1.5,-0.14,0.5,0.83,0.09,"4. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts."
Nevada,,0.31,0.19,1.6,-0.12,0.24,1.31,-0.07,0.4,0.77,0.09,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
