State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population
Alabama,0.24,0.28,0.29,0.27,0.05,0.05,0.02,0.04,0.02,<.01,0.01,0.01,0.69,0.62,0.68,0.68
Alaska,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Arizona,0.03,0.04,0.03,0.04,0.16,0.40,0.31,0.32,0.04,0.02,0.02,0.03,0.55,0.45,0.51,0.54
Arkansas,0.12,0.19,0.15,0.15,0.06,0.13,0.04,0.08,0.02,0.01,0.01,0.02,0.80,0.64,0.78,0.77
California,0.04,0.04,0.06,0.05,0.27,0.63,0.48,0.40,0.18,0.06,0.13,0.15,0.39,0.17,0.32,0.36
Colorado,0.03,0.03,0.05,0.04,0.11,0.41,0.25,0.22,0.03,0.02,0.03,0.03,0.79,0.50,0.65,0.68
Connecticut,0.06,NR,0.13,0.10,0.12,NR,0.10,0.17,0.05,NR,0.02,0.05,0.70,NR,0.75,0.66
Delaware,0.15,NR,0.21,0.22,0.07,NR,0.04,0.10,0.05,NR,0.01,0.04,0.69,NR,0.73,0.68
District of Columbia,0.31,0.55,0.70,0.46,0.12,0.20,0.15,0.11,NR,NR,NR,NR,0.41,0.18,0.13,0.41
Florida,0.08,0.15,0.17,0.16,0.25,0.42,0.25,0.27,NR,NR,NR,NR,0.78,0.37,0.56,0.75
Georgia,0.25,NR,0.34,0.32,0.07,NR,0.06,0.10,0.07,NR,0.02,0.04,0.59,NR,0.58,0.58
Hawaii,0.01,0.01,NA,0.01,NR,NR,NR,NR,0.53,0.48,0.50,0.40,0.27,0.12,0.08,0.23
Idaho,0.01,0.01,NA,0.01,0.09,0.15,0.10,0.13,0.02,0.01,0.01,0.01,0.83,0.76,0.86,0.89
Illinois,0.10,0.13,0.17,0.14,0.13,0.30,0.16,0.18,0.07,0.03,0.04,0.06,0.66,0.50,0.62,0.61
Indiana,0.07,0.07,0.10,0.09,0.05,0.09,0.04,0.07,0.03,0.01,0.01,0.02,0.86,0.78,0.85,0.83
Iowa,0.02,0.04,0.03,0.04,0.03,0.10,0.03,0.06,0.02,0.02,0.01,0.02,0.93,0.84,0.92,0.90
Kansas,0.04,0.05,0.06,0.06,0.10,0.17,0.08,0.12,0.03,0.02,0.02,0.03,0.80,0.73,0.82,0.84
Kentucky,0.06,0.04,0.09,0.08,NR,NR,NR,NR,0.02,<.01,0.01,0.02,0.84,0.89,0.89,0.87
Louisiana,0.29,NR,0.39,0.32,0.06,NR,0.03,0.05,0.03,NR,0.01,0.02,0.60,NR,0.57,0.62
Maine,0.01,0.05,0.01,0.01,0.02,0.02,NA,0.02,0.01,0.01,NA,0.01,0.85,0.91,0.96,0.93
Maryland,0.24,NR,0.36,0.30,0.08,NR,0.09,0.11,0.08,NR,0.04,0.06,0.59,NR,0.51,0.55
Massachusetts,0.06,0.08,0.08,0.07,0.08,0.27,0.08,0.12,0.08,0.04,0.03,0.07,0.76,0.50,0.80,0.70
Michigan,0.09,0.10,0.23,0.13,0.04,0.08,0.04,0.05,0.04,0.02,0.01,0.03,0.77,0.75,0.71,0.75
Minnesota,0.04,0.08,0.05,0.06,0.04,0.08,0.03,0.06,0.06,0.04,0.04,0.05,0.85,0.74,0.86,0.79
Mississippi,0.35,0.55,0.41,0.38,0.02,0.04,0.01,0.03,0.02,<.01,0.01,0.01,0.57,0.40,0.56,0.58
Missouri,0.09,0.25,0.12,0.11,0.05,0.13,0.02,0.04,0.03,0.02,0.01,0.02,0.83,0.54,0.83,0.82
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Nebraska,0.04,0.03,0.04,0.05,0.08,0.21,0.08,0.11,0.03,0.02,0.01,0.02,0.87,0.74,0.87,0.86
Nevada,0.06,0.08,0.10,0.09,0.23,0.48,0.26,0.29,0.11,0.07,0.11,0.08,0.46,0.33,0.51,0.48
New Hampshire,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
New Jersey,0.07,0.12,0.16,0.12,0.14,0.17,0.21,0.21,0.11,0.05,0.06,0.10,0.58,0.47,0.57,0.54
