State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Alabama,0.246,NR,0.295,0.266,0.053,NR,0.018,0.044,0.03,NR,0,0.014,0.67,NR,0.68,0.681,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,0.023,NR,NA,0.023,0.055,NR,0.044,0.07,0.07,NR,0.1,0.06,0.57,NR,0.4,0.65,
Arizona,0.029,0.04,0.033,0.043,0.166,0.408,0.308,0.318,0.04,0.02,0.02,0.033,0.54,0.45,0.52,0.542,
Arkansas,0.127,0.195,0.149,0.153,0.063,0.131,0.039,0.078,0.02,0.01,0.01,0.016,0.79,0.64,0.78,0.77,
California,0.04,0.039,0.063,0.053,0.291,0.63,0.477,0.395,0.18,0.06,0.13,0.147,0.38,0.17,0.32,0.364,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,0.033,0.033,0.047,0.038,0.112,0.413,0.247,0.218,0.03,0.02,0.03,0.032,0.78,0.5,0.65,0.678,
Connecticut,0.068,NR,0.128,0.1,0.131,NR,0.106,0.169,0.05,NR,0.02,0.046,0.68,NR,0.75,0.657,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,0.157,NR,0.22,0.223,0.084,NR,0.043,0.097,0.05,NR,0.01,0.04,0.67,NR,0.72,0.678,
District of Columbia,0.416,0.559,0.705,0.463,0.134,0.196,0.141,0.112,0.06,0.02,0.02,0.038,0.52,0.19,0.13,0.414,
Florida,0.081,0.149,0.17,0.15,0.289,0.417,0.253,0.266,NR,NR,NR,NR,0.59,0.37,0.56,0.53,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,0.255,NR,0.345,0.318,0.079,NR,0.055,0.098,0.07,NR,0.02,0.041,0.57,NR,0.58,0.58,
Hawaii,0.01,0.015,NA,0.013,NR,NR,NR,NR,0.53,0.48,0.5,0.4,0.26,0.12,0.08,0.225,
Idaho,0.007,0.005,NA,0.007,0.101,0.181,0.101,0.129,0.02,0.01,0.01,0.013,0.83,0.76,0.86,0.894,
Illinois,0.1,0.136,0.176,0.136,0.136,0.296,0.163,0.176,0.07,0.03,0.04,0.056,0.65,0.5,0.62,0.609,
Indiana,0.07,0.068,0.103,0.094,0.059,0.099,0.039,0.072,0.03,0.02,0.01,0.025,0.84,0.8,0.85,0.83,
Iowa,0.019,0.044,0.028,0.04,0.04,0.095,0.03,0.063,0.02,0.02,0.01,0.024,0.93,0.84,0.92,0.902,
Kansas,0.041,0.053,0.06,0.056,0.107,0.174,0.083,0.122,0.03,0.02,0.02,0.029,0.79,0.73,0.82,0.839,
Kentucky,0.062,0.047,0.088,0.081,NR,NR,NR,NR,0.02,0.01,0.01,0.016,0.83,0.89,0.89,0.869,
Louisiana,0.294,NR,0.39,0.321,0.069,NR,0.027,0.052,0.03,NR,0.01,0.017,0.59,NR,0.57,0.622,
Maine,0.014,0.047,0.013,0.014,0.019,0.017,NA,0.017,0.01,0.01,NA,0.011,0.86,0.92,0.96,0.932,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,0.253,NR,0.364,0.302,0.092,NR,0.088,0.106,0.08,NR,0.04,0.064,0.57,NR,0.51,0.546,
Massachusetts,0.058,0.075,0.077,0.07,0.095,0.277,0.081,0.124,0.08,0.04,0.03,0.067,0.74,0.49,0.79,0.705,
Michigan,0.095,0.102,0.224,0.134,0.043,0.077,0.037,0.053,0.04,0.02,0.01,0.032,0.76,0.75,0.72,0.749,
Minnesota,0.049,0.079,0.051,0.064,0.042,0.103,0.029,0.056,0.06,0.04,0.04,0.049,0.84,0.73,0.86,0.791,
Mississippi,0.362,0.551,0.409,0.378,0.026,0.04,0.009,0.03,0.02,0,0.01,0.01,0.58,0.4,0.56,0.583,
Missouri,0.089,0.25,0.127,0.113,0.052,0.132,0.022,0.043,0.03,0.02,0.01,0.021,0.82,0.54,0.83,0.821,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose."
Nevada,0.057,0.078,0.098,0.092,0.245,0.478,0.254,0.293,0.11,0.07,0.11,0.085,0.44,0.33,0.51,0.478,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,0.077,NR,0.166,0.124,0.159,NR,0.205,0.21,0.12,NR,0.06,0.096,0.55,NR,0.56,0.545,
New Mexico,0.017,0.011,0.012,0.017,0.384,0.614,0.391,0.495,0.03,0.01,0.01,0.016,0.44,0.17,0.28,0.367,
New York,0.12,NR,0.205,0.157,0.182,NR,0.217,0.193,0.15,NR,0.08,0.087,0.72,NR,0.5,0.634,
North Carolina,0.181,0.203,0.255,0.213,0.084,0.201,0.05,0.097,0.05,0.01,0.01,0.029,0.7,0.54,0.67,0.683,
North Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,0.088,0.139,0.125,0.123,0.039,0.046,0.018,0.04,0.03,0.02,0.01,0.023,0.82,0.74,0.85,0.811,
Oklahoma,0.059,0.065,0.069,0.07,0.108,0.141,0.062,0.111,0.04,0.02,0.01,0.021,0.8,0.64,0.73,0.725,8. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,0.022,0.029,0.021,0.018,0.087,0.326,0.11,0.134,0.06,0.03,0.04,0.047,0.75,0.57,0.8,0.75,
Pennsylvania,0.048,NR,0.126,0.081,0.055,NR,0.042,0.067,0.01,NR,0.02,0.036,0.85,NR,0.81,0.881,9. Data does not include Philadelphia County due to differences in reporting data. 
Rhode Island,0.047,NR,0.045,0.059,0.132,NR,0.082,0.166,0.04,NR,0.03,0.033,0.78,NR,0.84,0.705,
South Carolina,0.212,0.264,0.329,0.264,0.049,0.086,0.023,0.057,NR,NR,NR,NR,0.65,0.6,0.64,0.668,"10. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,0.011,0.02,NA,0.022,0.003,0.045,0.013,0.037,0,0.01,0.01,0.013,0.94,0.8,0.86,0.819,
Tennessee,0.118,0.161,0.179,0.165,0.054,0.084,0.027,0.057,0.02,0.01,0.01,0.018,0.66,0.71,0.78,0.775,
Texas,0.083,0.15,0.104,0.117,0.342,0.512,0.453,0.4,0.07,0.01,0.02,0.05,0.4,0.33,0.42,0.411,
Utah,0.011,0.012,0.008,0.01,0.106,0.225,0.154,0.144,0.03,0.02,0.03,0.023,0.8,0.7,0.73,0.778,11. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,0.011,0.026,NA,0.015,0.023,0.016,NA,0.018,0.02,0.04,NA,0.016,0.96,0.89,0.97,0.938,
Virginia,0.149,0.212,0.25,0.189,0.139,0.191,0.067,0.096,0.06,0.04,0.04,0.067,0.58,0.5,0.64,0.613,
Washington,0.032,0.054,0.035,0.038,0.092,0.319,0.119,0.13,0.12,0.06,0.08,0.089,0.63,0.5,0.71,0.675,
West Virginia,0.03,0.05,0.033,0.033,NR,NR,NR,NR,NR,NR,NR,NR,0.92,0.92,0.96,0.936,12. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,0.043,0.045,0.065,0.063,0.053,0.107,0.049,0.071,0.04,0.02,0.02,0.03,0.91,0.8,0.86,0.856,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
