State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,
Alabama,0.254,NR,0.296,0.266,0.056,NR,0.018,0.044,0.02,NR,0,0.014,0.65,NR,0.679,0.681,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,0.024,NR,NA,0.023,0.058,NR,0.046,0.07,0.07,NR,0.1,0.06,0.56,NR,0.4,0.65,
Arizona,0.03,0.04,0.033,0.043,0.186,0.406,0.308,0.318,0.04,0.02,0.02,0.033,0.52,0.45,0.52,0.542,
Arkansas,0.133,0.196,0.15,0.153,0.066,0.13,0.04,0.078,0.02,0.01,0.01,0.016,0.78,0.64,0.78,0.77,
California,0.042,0.04,0.063,0.053,0.305,0.629,0.476,0.395,0.17,0.06,0.12,0.147,0.37,0.17,0.32,0.364,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,0.035,0.034,0.046,0.038,0.127,0.406,0.249,0.218,0.03,0.02,0.03,0.032,0.76,0.5,0.65,0.678,
Connecticut,0.073,NR,0.129,0.1,0.141,NR,0.109,0.169,0.05,NR,0.02,0.046,0.66,NR,0.74,0.657,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,0.166,NR,0.218,0.223,0.094,NR,0.043,0.097,0.05,NR,0.01,0.04,0.65,NR,0.73,0.678,
District of Columbia,0.433,0.561,0.707,0.463,0.137,0.195,0.139,0.112,0.06,0.02,0.02,0.038,0.51,0.19,0.13,0.414,
Florida,0.09,0.15,0.171,0.15,0.315,0.416,0.254,0.266,NR,NR,NR,NR,0.56,0.37,0.56,0.53,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
