,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,,,,,,,,,,,,,,
,Yes/No,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,Percent--narrow,,,,,,,,,,,,,,
Alabama,Yes,0.62,0.24,0.06,0.02,<0.01,<0.01,0.12,0.10,0.94,0.06,0.32,,,,,,,,,,,,,,
Alaska,Yes,0.62,0.02,0.06,0.08,0.23,0.01,#VALUE!,0.15,0.94,0.06,0.20,,,,,,,,,,,,,,
Arizona,0,0.51,0.03,0.20,0.04,0.04,NR,0.18,0.11,0.80,0.20,0.11,,,,,,,,,,,,,,
Arkansas,Yes,0.76,0.13,0.07,0.02,<0.01,<0.01,#VALUE!,0.07,NR,0.07,NR,,,,,,,,,,,,,,
California,0,0.36,0.04,0.32,0.17,<0.01,0.01,0.11,0.05,0.68,0.32,0.05,,,,,,,,,,,,,,
Colorado,0,0.75,0.04,0.13,0.03,0.01,<0.01,0.04,0.10,0.87,0.13,0.10,,,,,,,,,,,,,,
Connecticut,0,0.65,0.08,0.15,0.05,<0.01,NR,0.07,0.04,0.85,0.15,0.04,,,,,,,,,,,,,,
Delaware,Yes,0.56,0.16,0.10,0.04,NR,NR,0.24,0.03,0.90,0.10,0.24,,,,,,,,,,,,,,
District of Columbia,Yes,0.48,0.45,0.13,0.06,NR,NR,0.00,0.19,0.87,0.13,0.12,,,,,,,,,,,,,,
Florida,0,0.51,0.10,0.26,NR,NR,NR,0.13,0.12,0.74,0.26,0.12,,,,,,,,,,,,,,
Georgia,Yes,0.53,0.27,0.09,0.06,<0.01,NR,0.14,0.04,0.91,0.09,0.09,,,,,,,,,,,,,,
Hawaii,Yes,0.25,0.01,NR,0.52,NR,0.19,0.03,0.19,NR,NR,NR,,,,,,,,,,,,,,
Idaho,Yes,0.82,0.01,0.11,0.02,0.01,<0.01,0.14,0.16,0.89,0.11,0.26,,,,,,,,,,,,,,
Illinois,0,0.62,0.11,0.15,0.07,<0.01,<0.01,0.04,0.04,0.85,0.15,0.04,,,,,,,,,,,,,,
Indiana,Yes,0.76,0.07,0.07,0.03,NR,NR,0.14,0.04,0.93,0.07,0.07,,,,,,,,,,,,,,
Iowa,Yes,0.90,0.03,0.05,0.04,0.01,<0.01,#VALUE!,0.09,0.95,0.05,0.10,,,,,,,,,,,,,,
Kansas,Yes,0.73,0.04,0.11,0.03,<0.01,<0.01,0.19,0.09,0.89,0.11,0.13,,,,,,,,,,,,,,
Kentucky,Yes,0.81,0.07,NR,0.02,<0.01,<0.01,0.10,0.06,NR,NR,NR,,,,,,,,,,,,,,
Louisiana,Yes,0.58,0.32,0.07,0.03,<0.01,<0.01,0.07,0.14,0.93,0.07,0.05,,,,,,,,,,,,,,
Maine,0,0.78,0.02,0.02,0.02,0.01,<0.01,0.16,0.05,0.98,0.02,0.05,,,,,,,,,,,,,,
Maryland,Yes,0.54,0.27,0.11,0.07,0.01,<0.01,0.10,0.04,0.89,0.11,0.05,,,,,,,,,,,,,,
Massachusetts,0,0.73,0.07,0.11,0.07,<0.01,<0.01,0.02,NR,0.89,0.11,NR,,,,,,,,,,,,,,
Michigan,0,0.73,0.10,0.05,0.04,0.01,NR,0.08,0.14,0.95,0.05,0.14,,,,,,,,,,,,,,
Minnesota,0,0.81,0.06,0.05,0.06,0.01,NR,#VALUE!,0.07,0.95,0.05,0.07,,,,,,,,,,,,,,
Mississippi,Yes,0.56,0.39,0.03,0.02,<0.01,<0.01,0.03,NR,0.97,0.03,NR,,,,,,,,,,,,,,
Missouri,Yes,0.81,0.10,0.05,0.03,<0.01,<0.01,0.00,NR,0.95,0.05,NR,,,,,,,,,,,,,,
Montana,0,NR,NR,NR,NR,NR,NR,0.00,NR,NR,NR,NR,,,,,,,,,,,,,,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,0.00,NR,NR,NR,NR,,,,,,,,,,,,,,
Nevada,,0.37,0.06,0.26,0.09,0.01,NR,0.20,NR,0.74,0.26,NR,,,,,,,,,,,,,,
New Hampshire,0,0.88,0.01,0.03,0.03,<0.01,<0.01,0.04,0.08,0.97,0.03,0.08,,,,,,,,,,,,,,
New Jersey,0,0.51,0.09,0.17,0.11,NR,NR,0.13,0.09,0.83,0.17,0.09,,,,,,,,,,,,,,
New Mexico,0,0.42,0.02,0.38,0.02,0.12,0.00,0.04,0.11,0.62,0.38,0.11,,,,,,,,,,,,,,
New York,Yes,0.69,0.15,0.21,0.14,NR,NR,0.02,NR,0.79,0.21,0.00,,,,,,,,,,,,,,
North Carolina,Yes,0.67,0.20,0.10,0.04,0.01,0.00,0.08,0.07,0.90,0.10,0.14,,,,,,,,,,,,,,
North Dakota,Yes,NR,NR,NR,NR,NR,NR,0.00,NR,NR,NR,NR,,,,,,,,,,,,,,
Ohio,Yes,0.78,0.10,0.04,0.03,<0.01,<0.01,0.09,0.03,0.96,0.04,0.15,,,,,,,,,,,,,,
Oklahoma,Yes,0.77,0.07,0.12,0.04,0.07,NR,0.05,0.19,0.88,0.12,0.28,,,,,,,,,,,,,,
Oregon,0,0.76,0.03,0.10,0.06,0.03,0.01,0.01,0.05,0.90,0.10,0.05,,,,,,,,,,,,,,
Pennsylvania,Yes,0.77,0.06,0.07,0.02,<0.01,<0.01,0.15,0.10,0.93,0.07,0.23,,,,,,,,,,,,,,
Rhode Island,0,0.74,0.05,0.16,0.04,<0.01,<0.01,0.00,NR,0.84,0.16,NR,,,,,,,,,,,,,,
South Carolina,0,0.59,0.22,0.05,NR,NR,NR,0.13,0.07,0.95,0.05,0.07,,,,,,,,,,,,,,
South Dakota,0,0.92,0.01,0.00,<0.01,0.03,NR,0.03,0.08,1.00,<0.01,0.23,,,,,,,,,,,,,,
Tennessee,Yes,0.63,0.12,0.06,0.02,NR,NR,0.23,0.04,0.94,0.06,0.09,,,,,,,,,,,,,,
Texas,0,0.34,0.08,0.36,0.06,NR,NR,0.16,0.05,0.64,0.36,0.05,,,,,,,,,,,,,,
Utah,0,0.78,0.01,0.12,0.03,0.01,0.01,0.03,0.12,0.88,0.12,0.12,,,,,,,,,,,,,,
Vermont,Yes,0.95,0.01,0.02,0.02,<0.01,<0.01,0.02,0.03,0.98,0.02,0.05,,,,,,,,,,,,,,
Virginia,0,0.58,0.17,0.10,0.09,<0.01,NR,0.06,0.09,0.90,0.10,0.09,,,,,,,,,,,,,,
