Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
United States,,0.56,0.49,1.15,-7.19,0.54,1.05,-2.48,0.72,0.78,16.11,
Alabama,Yes,0.44,0.44,0.99,0.46,0.47,0.94,3.01,0.71,0.61,27.69,1. Data for Hispanic people prior to 5/10 are not reported because the majority of ethnicity data were missing for the state.
Alaska,Yes,0.46,0.51,0.9,4.93,0.41,1.12,-4.78,0.67,0.69,20.89,
Arizona,,0.51,0.4,1.26,-10.5,0.34,1.48,-16.55,0.64,0.79,13.53,
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
California,,0.67,0.58,1.17,-9.84,0.55,1.23,-12.46,0.77,0.88,9.52,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Colorado,,0.71,0.62,1.15,-9.16,0.38,1.87,-33.01,0.64,1.1,-6.5,
Connecticut,,0.73,0.58,1.26,-14.98,0.64,1.13,-8.61,0.77,0.95,4.03,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Delaware,Yes,0.52,0.46,1.14,-6.48,0.55,0.95,2.85,0.64,0.82,11.67,
District of Columbia,Yes,0.56,0.47,1.19,-9,0.63,0.89,6.68,0.78,0.72,21.97,
Florida,,0.57,0.37,1.52,-19.57,0.58,0.98,0.96,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Georgia,Yes,0.5,0.47,1.07,-3.37,0.47,1.07,-3.3,0.8,0.62,30.19,
Hawaii,Yes,0.5,0.35,1.46,-15.94,NR,NA,NA,0.58,0.87,7.58,
Idaho,Yes,0.39,0.48,0.81,9.13,0.34,1.17,-5.79,0.6,0.66,20.46,
Illinois,,0.64,0.53,1.21,-11.31,0.55,1.16,-8.79,0.77,0.84,12.62,
Indiana,Yes,0.49,0.42,1.16,-6.75,0.5,0.98,1.02,0.68,0.72,19.37,
Iowa,Yes,0.55,0.48,1.15,-7.01,0.42,1.3,-12.88,0.86,0.64,30.84,
Kansas,Yes,0.45,0.39,1.16,-6.27,0.46,0.99,0.65,0.54,0.83,8.95,
Kentucky,Yes,0.51,0.47,1.09,-4.46,NR,NR,NR,0.63,0.81,11.77,
Louisiana,Yes,0.51,0.54,0.95,2.55,0.57,0.9,5.59,0.87,0.59,35.87,
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.7,0.64,1.1,-6.43,0.69,1.01,-1.01,0.82,0.86,11.38,
Massachusetts,,0.77,0.7,1.1,-7.27,0.64,1.21,-13.59,0.83,0.94,5.32,
Michigan,,0.48,0.37,1.29,-10.91,0.46,1.06,-2.55,0.55,0.88,6.87,
Minnesota,,0.61,0.55,1.12,-6.42,0.53,1.15,-7.78,0.72,0.85,11.09,
Mississippi,Yes,0.49,0.52,0.94,3.1,0.49,0.99,0.25,0.87,0.56,37.92,
Missouri,Yes,0.47,0.43,1.09,-3.69,0.63,0.74,16.32,0.64,0.73,17.55,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data."
Nevada,,0.43,0.35,1.21,-7.44,0.49,0.87,6.45,0.56,0.77,13.1,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.57,0.44,1.31,-13.47,0.5,1.14,-7.12,0.72,0.79,15.07,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.77,0.64,1.2,-12.5,0.59,1.3,-17.7,0.99,0.77,22.5,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.61,0.56,1.1,-5.66,0.69,0.89,7.52,0.93,0.66,32.21,
North Carolina,Yes,0.55,0.51,1.07,-3.44,0.53,1.03,-1.58,0.82,0.67,27.43,
North Dakota,Yes,0.65,0.48,1.34,-16.5,0.53,1.21,-11.3,0.56,1.15,-8.5,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.54,0.45,1.2,-9.01,0.52,1.03,-1.62,0.79,0.68,25.2,
Oklahoma,Yes,0.44,0.4,1.09,-3.53,0.41,1.07,-2.77,0.77,0.57,32.91,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.66,>.99,0.63,38.78,0.48,1.37,-18.07,0.84,0.79,18.03,
Pennsylvania,Yes,0.55,0.6,0.92,4.72,0.4,1.37,-14.89,0.37,1.48,-17.83,"10. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.66,0.57,1.15,-8.77,0.6,1.1,-5.73,0.71,0.93,5.08,
South Carolina,,0.47,0.43,1.09,-4.05,0.49,0.97,1.26,NR,NR,NR,
South Dakota,,0.55,0.31,1.79,-24.35,0.05,11.85,-50.63,0.11,4.9,-44.01,
Tennessee,Yes,0.45,0.41,1.08,-3.42,0.56,0.79,11.78,0.57,0.79,12.01,
Texas,,0.51,0.43,1.18,-7.58,0.54,0.94,3.21,0.69,0.74,17.85,
Utah,,0.57,0.42,1.35,-14.74,0.49,1.17,-8.2,0.49,1.15,-7.49,
Vermont,Yes,0.79,0.65,1.21,-13.53,>.99,0.75,25.7,0.81,0.97,2.78,
Virginia,,0.61,0.59,1.05,-2.76,0.68,0.91,6.45,0.87,0.71,25.45,
Washington,,0.58,0.62,0.93,4.27,0.53,1.1,-5.18,0.8,0.72,22.02,
West Virginia,Yes,0.52,0.53,0.98,0.9,NR,NR,NR,NR,NR,NR,11. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.54,0.43,1.25,-10.86,0.5,1.08,-4.22,0.63,0.86,8.75,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
