,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate
,Yes/No,Percent--narrow,Percent--narrow,Rate--narrow,Number--narrow,Percent--narrow,Rate--narrow,Number--narrow,Percent--narrow,Rate--narrow,Number--narrow
United States,,0.56,0.49,1.15,-7.19,0.54,1.05,-2.48,0.72,0.78,16.11
Alabama,Yes,0.44,0.44,0.99,0.46,0.47,0.94,3.01,0.71,0.61,27.69
Alaska,Yes,0.46,0.51,0.90,4.93,0.41,1.12,-4.78,0.67,0.69,20.89
Arizona,,0.51,0.40,1.26,-10.50,0.34,1.48,-16.55,0.64,0.79,13.53
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
California,,0.67,0.58,1.17,-9.84,0.55,1.23,-12.46,0.77,0.88,9.52
Colorado,,0.71,0.62,1.15,-9.16,0.38,1.87,-33.01,0.64,1.10,-6.50
Connecticut,,0.73,0.58,1.26,-14.98,0.64,1.13,-8.61,0.77,0.95,4.03
Delaware,Yes,0.52,0.46,1.14,-6.48,0.55,0.95,2.85,0.64,0.82,11.67
District of Columbia,Yes,0.56,0.47,1.19,-9.00,0.63,0.89,6.68,0.78,0.72,21.97
Florida,,0.57,0.37,1.52,-19.57,0.58,0.98,0.96,NR,NR,NR
Georgia,Yes,0.50,0.47,1.07,-3.37,0.47,1.07,-3.30,0.80,0.62,30.19
Hawaii,Yes,0.50,0.35,1.46,-15.94,NR,NA,NA,0.58,0.87,7.58
Idaho ,Yes,0.39,0.48,0.81,9.13,0.34,1.17,-5.79,0.60,0.66,20.46
Illinois,,0.64,0.53,1.21,-11.31,0.55,1.16,-8.79,0.77,0.84,12.62
Indiana,Yes,0.49,0.42,1.16,-6.75,0.50,0.98,1.02,0.68,0.72,19.37
Iowa,Yes,0.55,0.48,1.15,-7.01,0.42,1.30,-12.88,0.86,0.64,30.84
Kansas,Yes,0.45,0.39,1.16,-6.27,0.46,0.99,0.65,0.54,0.83,8.95
Kentucky,Yes,0.51,0.47,1.09,-4.46,NR,NR,NR,0.63,0.81,11.77
Louisiana,Yes,0.51,0.54,0.95,2.55,0.57,0.90,5.59,0.87,0.59,35.87
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Maryland,Yes,0.70,0.64,1.10,-6.43,0.69,1.01,-1.01,0.82,0.86,11.38
Massachusetts,,0.77,0.70,1.10,-7.27,0.64,1.21,-13.59,0.83,0.94,5.32
Michigan,,0.48,0.37,1.29,-10.91,0.46,1.06,-2.55,0.55,0.88,6.87
Minnesota,,0.61,0.55,1.12,-6.42,0.53,1.15,-7.78,0.72,0.85,11.09
Mississippi,Yes,0.49,0.52,0.94,3.10,0.49,0.99,0.25,0.87,0.56,37.92
Missouri,Yes,0.47,0.43,1.09,-3.69,0.63,0.74,16.32,0.64,0.73,17.55
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Nevada,,0.43,0.35,1.21,-7.44,0.49,0.87,6.45,0.56,0.77,13.10
New Hampshire,,0.57,0.44,1.31,-13.47,0.50,1.14,-7.12,0.72,0.79,15.07
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
New Mexico,,0.77,0.64,1.20,-12.50,0.59,1.30,-17.70,0.99,0.77,22.50
New York,Yes,0.61,0.56,1.10,-5.66,0.69,0.89,7.52,0.93,0.66,32.21
North Carolina,Yes,0.55,0.51,1.07,-3.44,0.53,1.03,-1.58,0.82,0.67,27.43
North Dakota,Yes,0.65,0.48,1.34,-16.50,0.53,1.21,-11.30,0.56,1.15,-8.50
Ohio,Yes,0.54,0.45,1.20,-9.01,0.52,1.03,-1.62,0.79,0.68,25.20
Oklahoma,Yes,0.44,0.40,1.09,-3.53,0.41,1.07,-2.77,0.77,0.57,32.91
Oregon,,0.66,>.99,0.63,38.78,0.48,1.37,-18.07,0.84,0.79,18.03
Pennsylvania,Yes,0.55,0.60,0.92,4.72,0.40,1.37,-14.89,0.37,1.48,-17.83
Rhode Island,,0.66,0.57,1.15,-8.77,0.60,1.10,-5.73,0.71,0.93,5.08
South Carolina,,0.47,0.43,1.09,-4.05,0.49,0.97,1.26,NR,NR,NR
South Dakota,,0.55,0.31,1.79,-24.35,0.05,11.85,-50.63,0.11,4.90,-44.01
Tennessee,Yes,0.45,0.41,1.08,-3.42,0.56,0.79,11.78,0.57,0.79,12.01
Texas,,0.51,0.43,1.18,-7.58,0.54,0.94,3.21,0.69,0.74,17.85
Utah,,0.57,0.42,1.35,-14.74,0.49,1.17,-8.20,0.49,1.15,-7.49
Vermont,Yes,0.79,0.65,1.21,-13.53,>.99,0.75,25.70,0.81,0.97,2.78
Virginia,,0.61,0.59,1.05,-2.76,0.68,0.91,6.45,0.87,0.71,25.45
Washington,,0.58,0.62,0.93,4.27,0.53,1.10,-5.18,0.80,0.72,22.02
West Virginia,Yes,0.52,0.53,0.98,0.90,NR,NR,NR,NR,NR,NR
Wisconsin,Yes,0.54,0.43,1.25,-10.86,0.50,1.08,-4.22,0.63,0.86,8.75
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
