,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate
,Yes/No,Percent--narrow,Percent--narrow,Rate--narrow,Number--narrow,Percent--narrow,Rate--narrow,Number--narrow,Percent--narrow,Rate--narrow,Number--narrow
United States,,0.61,0.55,1.10,-5.75,0.62,0.99,0.61,0.83,0.74,21.79
Alabama,Yes,0.48,0.50,0.97,1.55,0.56,0.86,7.58,0.81,0.60,32.41
Alaska,Yes,0.54,0.59,0.90,5.71,0.48,1.12,-5.54,0.78,0.69,24.23
Arizona,,0.59,0.49,1.20,-10.01,0.42,1.41,-17.20,0.78,0.76,18.55
Arkansas,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
California,,0.73,0.64,1.15,-9.45,0.62,1.18,-11.14,0.87,0.85,13.19
Colorado,,0.78,0.70,1.13,-8.75,0.41,1.89,-36.95,0.73,1.08,-5.59
Connecticut,,0.79,0.63,1.24,-15.40,0.73,1.08,-6.09,0.85,0.92,6.58
Delaware,Yes,0.72,0.59,1.21,-12.23,0.66,1.09,-6.02,0.90,0.79,18.90
District of Columbia,Yes,0.71,0.56,1.26,-14.63,0.77,0.91,6.60,>.99,0.71,29.26
Florida,,0.61,0.43,1.44,-18.58,0.68,0.90,6.72,NR,NR,NR
Georgia,Yes,0.54,0.52,1.04,-2.16,0.53,1.01,-0.50,0.91,0.59,37.15
Hawaii,Yes,0.61,0.55,1.11,-6.14,NR,NR,NR,0.75,0.82,13.31
Idaho ,Yes,0.44,0.43,1.02,-1.00,0.41,1.07,-3.00,0.60,0.73,16.00
Illinois,,0.70,0.62,1.14,-8.67,0.68,1.04,-2.60,0.91,0.78,20.43
Indiana,Yes,0.47,0.41,1.14,-5.87,0.60,0.79,12.88,0.68,0.69,20.94
Iowa,Yes,0.61,0.55,1.12,-6.30,0.50,1.22,-10.96,0.99,0.62,37.89
Kansas,Yes,0.50,0.44,1.13,-5.80,0.54,0.93,3.80,0.62,0.81,12.01
Kentucky,Yes,0.56,0.53,1.07,-3.63,NR,NR,NR,0.78,0.73,21.22
Louisiana,Yes,0.55,0.61,0.91,5.50,0.65,0.85,9.97,0.98,0.57,42.42
Maine,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Maryland,Yes,0.78,0.73,1.07,-5.00,0.81,0.96,3.40,0.96,0.81,18.08
Massachusetts,,0.86,0.80,1.07,-5.90,0.76,1.13,-9.54,0.98,0.87,12.27
Michigan,,0.54,0.43,1.28,-11.76,0.56,0.98,1.32,0.66,0.82,11.79
Minnesota,,0.66,0.63,1.05,-3.14,0.62,1.07,-4.15,0.81,0.81,15.50
Mississippi,Yes,0.53,0.58,0.90,5.67,0.57,0.93,3.98,0.96,0.55,43.71
Missouri,Yes,0.52,0.49,1.06,-2.84,0.74,0.70,22.30,0.75,0.70,22.72
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Nevada,,0.47,0.40,1.16,-6.47,0.57,0.82,10.58,0.62,0.75,15.69
New Hampshire,,0.60,0.48,1.26,-12.38,0.54,1.11,-6.03,0.78,0.77,17.67
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
New Mexico,,0.84,0.73,1.16,-11.30,0.65,1.28,-18.50,0.99,0.85,15.10
New York,Yes,0.68,0.66,1.04,-2.56,0.80,0.86,11.46,>.99,0.63,40.49
North Carolina,Yes,0.57,0.55,1.03,-1.90,0.58,0.98,1.03,0.89,0.64,31.75
North Dakota,Yes,0.67,0.52,1.28,-14.90,0.57,1.19,-10.50,0.59,1.13,-7.90
Ohio,Yes,0.59,0.52,1.15,-7.63,0.61,0.96,2.23,0.92,0.64,32.84
Oklahoma,Yes,0.48,0.46,1.05,-2.22,0.48,1.01,-0.40,0.86,0.56,38.35
Oregon,,0.72,>.99,0.61,46.50,0.54,1.34,-18.40,0.99,0.73,26.98
Pennsylvania,Yes,0.63,0.74,0.85,10.79,0.51,1.24,-12.35,0.63,0.99,0.36
Rhode Island,,0.75,0.67,1.13,-8.42,0.70,1.08,-5.90,0.86,0.87,11.02
South Carolina,,0.51,0.48,1.06,-3.03,0.56,0.92,4.73,NR,NR,NR
South Dakota,,0.61,0.36,1.70,-25.28,0.05,11.49,-55.82,0.12,4.89,-48.65
Tennessee,Yes,0.48,0.44,1.07,-3.15,0.63,0.76,15.24,0.61,0.78,13.70
Texas,,0.53,0.47,1.14,-6.51,0.61,0.87,7.71,0.74,0.72,20.83
Utah,,0.64,0.75,0.86,10.44,0.56,1.15,-8.16,0.85,0.75,21.19
Vermont,Yes,0.85,0.74,1.15,-10.85,>.99,0.76,26.36,0.92,0.92,7.06
Virginia,,0.66,0.65,1.02,-1.56,0.77,0.86,10.78,0.98,0.68,31.66
Washington,,0.62,0.69,0.90,7.16,0.61,1.02,-1.40,0.88,0.71,25.73
West Virginia,Yes,0.59,0.70,0.85,10.21,NR,NR,NR,NR,NR,NR
Wisconsin,Yes,0.61,0.51,1.21,-10.38,0.59,1.04,-2.34,0.75,0.82,13.57
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
