"State","CumulativeTests","TestsPer1000","CurrentlyHospitalized","CumulativeHospitalizations","Rolling Avg Change in Cases (7 Days)","Rolling Avg Change in Deaths (7 Days)","Rolling Avg Change in Positives (7 Days)","Rolling Avg Change in Tests (7 Days)","Positivity Rate (7 Days - Rolling)","Change in Tests (7 Days) Over Pop","Pct Change in Positives (2 Wks - Rolling)","Pct Change in Tests (2 Wks - Rolling)","Pct Change in Cases (2 Wks - Rolling)","Pct Change in Deaths (2 Wks - Rolling)"
"US Total",21467820,65.4029100572389,30203,220602,21095.4285714286,830.571428571429,20917.7142857143,466317.714285714,0.0448572156812768,0.00994464033510066,-0.191279604401282,0.143374348139202,-0.030700055794414,NA
"Alabama",273057,55.6897200493149,629,2129,379.428571428571,10.8571428571429,397.142857142857,6276.71428571429,0.0632724127728338,0.00896091010231105,-0.241715749838684,0.462470459008754,-0.188759926695174,0
"Alaska",67720,92.571202044987,22,NA,12.2857142857143,0.142857142857143,12.2857142857143,1526.71428571429,0.00804716010105736,0.0146088073871054,4.75640185895636,-0.0491146899190319,7.6,Inf
"Arizona",299687,41.1730528883044,1274,3476,1004.57142857143,19,1006.57142857143,7911.42857142857,0.127230046948357,0.00760848374789128,0.673445272446587,0.175746252813044,2.07342657342657,0.266666666666667
"Arkansas",176217,58.3924602127905,181,901,323.142857142857,3.57142857142857,376.714285714286,4649.28571428571,0.0810262713166385,0.0107843319181763,0.164921857783843,0.516330429110562,0.799522673031026,0.470588235294118
"California",2540798,64.3041015434642,4719,NA,2775.14285714286,62.8571428571429,2597,59236.2857142857,0.0438413713602184,0.0104943222253023,0.047990151647261,0.105169311957782,0.242468819955229,0.0602409638554217
"Colorado",226094,39.2610461740215,305,5025,222.714285714286,11.2857142857143,229.428571428571,4478.57142857143,0.0512280701754386,0.00544390296759567,-0.388385913986708,-0.091988646237618,-0.246859903381643,NA
"Connecticut",316913,88.8884962136288,270,9669,171.428571428571,17.8571428571429,171.428571428571,6005.85714285714,0.0285435646154944,0.0117917575780014,-0.604165436334658,-0.0708760608203678,-0.582318134354333,NA
"Delaware",71745,73.6780164393015,108,NA,47.8571428571429,5.28571428571429,47.8571428571429,955.857142857143,0.0500672545209984,0.00687127476472739,-0.475388592570064,-0.268583296895496,-0.67444120505345,0.193548387096774
"District of Columbia",58192,82.4542436475291,245,NA,84,3.57142857142857,84,1350.14285714286,0.0622156385567665,0.0133914465341077,-0.0412570098402287,0.673928444916755,-0.346666666666667,NA
"Florida",1279023,59.551106338624,NA,11621,1221.85714285714,33.5714285714286,1221.85714285714,29793.2857142857,0.0410111578351786,0.00971019432820134,0.601288418211853,0.64827548052605,0.610431180568631,0.135265700483092
"Georgia",570955,53.7752899173368,817,8974,720.285714285714,26.1428571428571,720.285714285714,11842.2857142857,0.0608232001544104,0.00780754426003372,0.660999146720231,NA,-0.0167706708268331,NA
"Hawaii",56173,39.6737840708765,NA,84,4.14285714285714,0,3.42857142857143,936.142857142857,0.00366244468182512,0.00462824323102653,1.44834426980009,NA,13.5,NA
"Idaho",59052,33.0441254235296,NA,262,41.1428571428571,0.285714285714286,40.4285714285714,1363.42857142857,0.0296521374685666,0.00534060036988022,-0.421349808581246,0.418760220008919,0.684210526315789,NA
"Illinois",1100726,86.8640742321092,2458,NA,909.142857142857,70.4285714285714,1012.57142857143,20743.1428571429,0.048814754617705,0.0114586530223241,-0.46852593900895,-0.018308430802515,-0.58034948895483,NA
"Indiana",320094,47.546581595162,894,6261,399.428571428571,20.2857142857143,399.428571428571,6210.14285714286,0.0643187412297854,0.00645715773655016,-0.210193316633122,0.0558902113189215,-0.171064334420397,NA
"Iowa",202829,64.2866877755486,245,NA,316.857142857143,9.28571428571429,317.142857142857,4861.85714285714,0.0652308053947639,0.0107867654283423,-0.241948210544112,0.186397545841177,-0.0785209804736186,NA
"Kansas",123742,42.474652577786,NA,954,92,2.14285714285714,91.2857142857143,2313.85714285714,0.0394517503241341,0.00555964787867013,-0.352550944851426,-0.260849723908182,-0.238770685579196,0.363636363636364
"Kentucky",274414,61.4221318346262,508,2396,217.428571428571,5,217.571428571429,4666.71428571429,0.046621973245171,0.00731186011151667,0.622760435284607,-0.431037185404511,0.72562358276644,0.25
"Louisiana",460120,98.9762075927649,549,NA,409.428571428571,17.4285714285714,409.428571428571,8647.85714285714,0.047344511439663,0.0130216567995915,-0.0117775103908802,0.161744103479379,-0.0497347480106101,0.00826446280991736
"Maine",63940,47.5669016494422,27,303,32.7142857142857,0.857142857142857,32.7142857142857,1350.28571428571,0.0242276766821837,0.00703162893948276,-0.0963339941857254,-0.386592251281718,-0.377717391304348,0
"Maryland",384642,63.6226197880139,955,9755,675.571428571429,30.5714285714286,675.571428571429,8895.28571428571,0.0759471309040101,0.0102994204125921,-0.433222429213503,0.0153111140099139,-0.229929978830809,NA
"Massachusetts",672090,97.5102948812645,1345,10582,389.428571428571,46.1428571428571,389.428571428571,7513.85714285714,0.0518280510295264,0.0076310449193856,-0.384128563520324,-0.177066057514785,-0.527392510402219,NA
"Michigan",737335,73.8305354727719,661,NA,1038.14285714286,56.4285714285714,1038.14285714286,22840.4285714286,0.0454519867653221,0.0160093410769775,0.357304590982882,0.719375409994731,1.63870733478577,0.586345381526104
"Minnesota",369795,65.5707677380368,427,3482,430.714285714286,20.8571428571429,430.714285714286,14606.2857142857,0.0294882829310277,0.0181295517154311,-0.712574459031842,1.09306229400807,-0.388562157777327,NA
"Mississippi",213885,71.8663615296143,655,2614,297.428571428571,11.4285714285714,249.714285714286,4102,0.0608762276241555,0.00964803845506391,0.0154647303541909,-0.0935951261087787,0.0271336951159349,NA
"Missouri",251629,40.9990960382753,533,NA,191,8.42857142857143,191.142857142857,5752.14285714286,0.033229852228983,0.00656056576142319,-0.154024488670895,-0.107839227155898,0.127318718381113,NA
"Montana",54616,51.1013512628441,7,74,4.57142857142857,0.142857142857143,4.57142857142857,1567.42857142857,0.002916514764856,0.0102659298750536,0.780532263944586,0.309620434471234,2.875,0
