"State","CumulativeTests","TestsPer1000","CurrentlyHospitalized","CumulativeHospitalizations","Rolling Avg Change in Cases (7 Days)","Rolling Avg Change in Deaths (7 Days)","Rolling Avg Change in Positives (7 Days)","Rolling Avg Change in Tests (7 Days)","Positivity Rate (7 Days - Rolling)","Change in Tests (7 Days) Over Pop","Pct Change in Positives (2 Wks - Rolling)","Pct Change in Tests (7 Days - Rolling)","Pct Change in Cases (2 Wks - Rolling)","Pct Change in Deaths (2 Wks - Rolling)"
"US Total",22517262,68.6000935968945,28524,223281,20882.2857142857,753.571428571429,20440.1428571429,455880.571428571,0.0448366176103767,0.00972205897337963,-0.145808086822026,0.0236462645086623,0.00435613087631057,-0.225858526562959
"Alabama",286385,58.4079531977684,622,2202,617.571428571429,13.2857142857143,617.571428571429,6701.71428571429,0.0921512619372442,0.00956765857294799,-0.120464259148051,0.533573063092514,0.286224337994644,0.347826086956522
"Alaska",70880,96.8908269484447,15,NA,14.4285714285714,0.285714285714286,14.4285714285714,1412.85714285714,0.0102123356926188,0.0135193323718978,2.13950766119624,-0.14379707384642,2.88461538461538,NA
"Arizona",311236,42.759733617889,1336,3622,1228.57142857143,20.1428571428571,1226.57142857143,6767.28571428571,0.181250131937261,0.0065081524669801,1.14493068281372,-0.123603196921483,2.01966292134831,0.27027027027027
"Arkansas",181122,60.017814278197,203,961,413.714285714286,3.42857142857143,413.714285714286,4787.28571428571,0.0864193846796574,0.0111044322295285,0.560495174112907,0.203570017598678,1.48583690987124,0.263157894736842
"California",2662258,67.3780870289176,4480,NA,2988.71428571429,64.1428571428571,2726,60542.1428571429,0.045026486862752,0.010725668358371,0.0750868306392301,0.0516396391925257,0.278008552229689,0.0898058252427184
"Colorado",234370,40.6981670977798,279,5057,172.285714285714,8.28571428571429,183.857142857143,4420.85714285714,0.0415885736444128,0.00537374868373893,-0.423922835331744,-0.102103583345423,-0.428706774040739,-0.482142857142857
"Connecticut",330254,92.6304109599031,244,9912,175.571428571429,17.2857142857143,175.571428571429,6123.85714285714,0.0286700725499802,0.0120234359814511,-0.472197745445346,-0.0679871287559246,-0.424894712213383,-0.476190476190476
"Delaware",77694,79.7872995920983,100,NA,57.1428571428571,3.71428571428571,57.1428571428571,1566.42857142857,0.0364797081623347,0.0112604286048776,-0.558992834988013,0.192366246193997,-0.434229137199434,-0.235294117647059
"District of Columbia",61953,87.7833337347981,212,NA,65,3.85714285714286,65,1441.71428571429,0.0450852160126833,0.0142997014519326,-0.157500606820354,0.261027114831938,-0.294573643410853,-0.357142857142857
"Florida",1335899,62.1992438030133,NA,11986,1354.71428571429,31,1354.71428571429,28708.4285714286,0.0471887300394608,0.00935661890263392,0.381649730919551,0.32470451743891,0.879310344827586,-0.0269058295964126
"Georgia",591958,55.7534535451776,836,9181,737.428571428571,34.8571428571429,737.428571428571,12024.2857142857,0.0613282642271593,0.00792753571182009,0.339124414597121,0.463393431507206,0.173448511025233,0.363128491620112
"Hawaii",58579,41.373090222845,NA,86,6,0,5.28571428571429,891.857142857143,0.0059266378343745,0.00440929688559418,4.73580009610764,0.105934455270151,5,NA
"Idaho",61432,34.3759180555828,NA,265,34.5714285714286,0.571428571428571,35.4285714285714,1115.42857142857,0.0317622950819672,0.00436917515591207,-0.301770143006627,-0.119034187069841,0.382857142857143,0.333333333333333
"Illinois",1147962,90.5917152712306,2209,NA,754.714285714286,66.4285714285714,877.714285714286,21006.1428571429,0.0417836959256816,0.0116039360088814,-0.46207883462724,-0.0141729855119103,-0.560153192906502,-0.162162162162162
"Indiana",335180,49.7874474968803,906,6349,366.857142857143,19.7142857142857,366.857142857143,6220.28571428571,0.0589775389279316,0.00646770403636602,-0.247994238477513,0.0143739079790333,-0.18450301683074,-0.183431952662722
"Iowa",214544,67.9997591178643,225,NA,313.714285714286,7.28571428571429,312.142857142857,4840.14285714286,0.0644904223606151,0.0107385890011949,-0.279209028364223,0.0161353207569803,-0.109127789046653,-0.49
"Kansas",129152,44.3316443061064,NA,973,95.2857142857143,1.57142857142857,93.4285714285714,2214.14285714286,0.0421962707271437,0.00532005818802917,0.0266280584928586,-0.17135372112917,-0.114209827357238,0.1
"Kentucky",281094,62.9173173596187,514,2406,169.857142857143,4.42857142857143,138.285714285714,5525.28571428571,0.0250277942963518,0.00865707942367313,0.578506888154208,0.130179416749459,0.145472061657033,0.148148148148148
"Louisiana",479534,103.152344457509,549,NA,429.428571428571,12,429.428571428571,8392.57142857143,0.0511676993259345,0.0126372560281226,0.178165581868707,-0.10661658480208,0.601491742141715,-0.151515151515151
"Maine",66887,49.7592641636885,32,308,34.1428571428571,0.285714285714286,34.1428571428571,1336.42857142857,0.0255478353821486,0.00695946770301113,-0.236505696565142,-0.208946389311686,-0.140287769784173,-0.8
"Maryland",400095,66.1786598033637,836,9923,549,28.2857142857143,549,7481.28571428571,0.0733831083274456,0.00866221831125696,-0.367053921226895,-0.171481458043286,-0.414533820840951,-0.235521235521236
"Massachusetts",693359,100.596111456172,1143,10726,357.428571428571,43.2857142857143,357.428571428571,8370,0.0427035330261137,0.00850054036973216,-0.444835596278941,-0.0703541507996953,-0.50786782061369,-0.381632653061225
"Michigan",786287,78.7321777011526,636,NA,270.714285714286,19.4285714285714,121.571428571429,11573.7142857143,0.0105040979559593,0.00811226194587546,-0.487265180275179,-0.215622488793362,-0.300221565731167,-0.451612903225807
"Minnesota",395202,70.0758489206388,403,3557,402.142857142857,20.8571428571429,402.142857142857,10408.8571428571,0.038634679256677,0.0129196373096684,-0.548419840469128,-0.17639345744741,-0.378038002651348,-0.0580645161290322
"Mississippi",214493,72.0706523766115,710,2643,331.714285714286,11.1428571428571,333.142857142857,3054.28571428571,0.109073900841908,0.00718378011315966,0.615864880062398,-0.213421139766749,0.0710332103321033,-0.321739130434783
"Missouri",265135,43.1996921185878,593,NA,178.142857142857,5.85714285714286,190.285714285714,5799,0.0328135392801715,0.0066140083435602,-0.216241849982259,-0.130621948085325,0,0.0249999999999999
"Montana",57022,53.3525203550223,7,77,4.71428571428571,0,4.71428571428571,1590.57142857143,0.00296389437758218,0.0104175048513349,0.412507377659165,0.51297730669928,1.35714285714286,NA
"Nebraska",130773,67.6036286036865,164,1029,159.428571428571,4,171.142857142857,2278.71428571429,0.0751050090903392,0.00824593363964582,-0.329781879664424,-0.203206953394275,-0.438066465256798,0.647058823529412
"Nevada",199447,64.7522398216194,328,NA,199.285714285714,3.57142857142857,201.714285714286,4762.85714285714,0.0423515296940612,0.0108241270896669,0.538534232036627,0.0520337004196775,0.63924794359577,-0.074074074074074
"New Hampshire",91917,67.600394495595,73,504,42.5714285714286,5.28571428571429,47.5714285714286,1736,0.027402896642528,0.00893719327121719,-0.285337316387109,-0.0582035185615748,-0.376569037656904,0.0882352941176471
"New Jersey",1055396,118.821596925983,1480,18607,404,62.8571428571429,404,19500.7142857143,0.0207171898465258,0.0153683945063098,-0.455105774252121,-0.325834650335836,-0.548603351955307,-0.194139194139194
"New Mexico",255284,121.747648473004,179,1625,122,4.71428571428571,167.571428571429,5361,0.0312574946038852,0.0178970245070056,0.117140053780112,0.0968637652354369,-0.0161290322580645,-0.214285714285714
"New York",2801400,144.004483292288,1898,89995,786.571428571429,74.5714285714286,786.571428571429,63126.8571428571,0.0124601709030343,0.0227150186025068,-0.577686308259124,0.063811142514601,-0.456465942744324,-0.341740226986129
"North Carolina",595697,56.7975046729221,760,NA,1160.28571428571,15.1428571428571,1142,16221.4285714286,0.0704007045354469,0.0108265723272239,0.272228912536156,0.248955079413964,0.700942408376963,-0.263888888888889
"North Dakota",84164,110.442457437846,35,197,38.7142857142857,0.428571428571429,38.7142857142857,1044,0.0370826491516147,0.00958977091102824,0.031925988786319,-0.0128326354180738,0.138655462184874,-0.571428571428571
"Ohio",523718,44.8039626660735,547,6814,380.857142857143,21.8571428571429,380.857142857143,11074.7142857143,0.0343897939966204,0.00663207603664953,-0.433917733496777,0.0159622567328484,-0.2932131495228,-0.409266409266409
"Oklahoma",246214,62.2228467178557,154,1103,120.285714285714,2.14285714285714,134.428571428571,4249,0.0316376962646673,0.00751660803174954,1.2853544890733,0.0230454373473669,0.721881390593047,-0.318181818181818
"Oregon",166189,39.4024093963184,133,875,115.285714285714,1.71428571428571,115.285714285714,3277.57142857143,0.0351741271847622,0.0054396469006958,0.95525990889978,0.115633357646487,2.02247191011236,2
"Pennsylvania",566384,44.2418752273572,899,NA,523.714285714286,37.7142857142857,427.714285714286,9596.85714285714,0.044568162195957,0.00524746584300299,-0.479777885550518,0.103141369854016,-0.231929604022627,-0.418502202643172
"Rhode Island",191518,180.786341955198,141,1853,72.2857142857143,8.71428571428571,72.2857142857143,2968.42857142857,0.0243515087347803,0.0196146544945491,-0.479489886710191,-0.147842847769029,-0.437152391546162,-0.464912280701754
"South Carolina",236059,45.8481477122248,512,1988,531,7.71428571428571,531,3890.71428571429,0.13647879566734,0.000924502701062828,2.49506381349301,-0.367245945820362,1.48961821835231,-0.15625
"South Dakota",63005,71.2195320456809,87,525,66.4285714285714,1.42857142857143,66.4285714285714,1377.42857142857,0.0482265090230243,0.0108991148001659,-0.211543858364752,-0.239649869884079,-0.0882352941176471,0.111111111111111
"Tennessee",590173,86.419382490474,NA,2049,493.428571428571,8.28571428571429,515.142857142857,15428.7142857143,0.0333885797353728,0.0158146504979958,-0.243750530118652,0.793887550867868,0.294117647058824,0.260869565217391
"Texas",1226957,42.3148722399571,2166,NA,1768.42857142857,20.5714285714286,1723.85714285714,23625.8571428571,0.0729648508595304,0.00570360321178032,0.466760538391405,-0.0173498672022151,0.681472425971203,-0.0335570469798657
"Utah",258786,80.7203338284531,197,988,332.142857142857,2.71428571428571,332.142857142857,3798.42857142857,0.0874421753356651,0.00829362081474555,0.377993054730478,0.00937666084579757,0.926263463131732,0.357142857142857
"Vermont",48634,77.9404765148104,16,NA,13.1428571428571,0,13.1428571428571,1359.57142857143,0.00966691184196701,0.0152518714272207,1.58568876746874,0.31595685840708,3,NA
"Virginia",450530,52.7829649257415,1026,8028,668.428571428571,11.4285714285714,668.428571428571,12394.2857142857,0.0539303826648225,0.010164584016508,-0.479386539386742,0.326747511201505,-0.382961888434656,-0.63963963963964
"Washington",425212,55.8395239434093,226,3772,311.142857142857,7.85714285714286,230,3527.85714285714,0.0651953836809071,0.00324298713061365,0.591746216016707,-0.138586577368495,0.205980066445183,-0.0983606557377049
"West Virginia",124039,69.2125143752159,29,NA,18.5714285714286,0.571428571428571,16.2857142857143,2217.28571428571,0.00734488757167708,0.00866056188471147,-0.788796113498611,0.0250974176078198,-0.471544715447154,1
"Wisconsin",399608,68.6324653916215,287,3003,285.285714285714,8.14285714285714,285.285714285714,10861,0.0262669840977547,0.0130575975614322,-0.490717211978416,0.0517527598705143,-0.39685895499849,-0.208333333333333
"Wyoming",31900,55.1179333712305,5,92,13.4285714285714,0.142857142857143,13.4285714285714,612.571428571429,0.0219216417910448,0.00740895605943061,-0.0421737194708276,-0.0126640571033848,0.0681818181818182,-0.666666666666667
"Puerto Rico",5536,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guam",8527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virgin Islands",2293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Mariana Islands",7762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
