,State Is Easing Social Distancing Measures,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,School Closures,Restaurant Limits,Primary Election Postponement,Emergency Declaration
,Text--narrow,Text--narrow,Text--narrow,Text--wide,Text--narrow,Text,Text,Text--narrow,Text--narrow
United States,Yes (51),Original Stay at Home Order in Place (7); Stay at Home Order Eased or Lifted (38); No Action (6),Original Traveler Quarantine Mandate in Place (9); Traveler Quarantine Mandate Eased or Lifted (16); No Action (26),Some or All Non-Essential Businesses Permitted to Reopen (46); No Action (5),Original Gathering Ban/Limit in Place (10); Gathering Ban/Limit Expanded or Lifted (40); No Action (1),Closed (6); Closed for School Year (37); Recommended Closure (1); Recommended Closure for School Year (6); Rescinded (1),Original Restaurant Closures Still in Place (5); Restaurants Reopened to Dine-in Service (45); No Action (1),Postponed (15); No (36),Yes (51); No (0)
Alabama,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service,-,Yes
Alaska,Yes,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,Lifted,Closed for School Year,Reopened to Dine-in Service ,-,Yes
Arizona,Yes,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes
Arkansas,Yes,-,Lifted,-,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes
California,Yes,Statewide,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,Recommended Closure for School Year,Closed Except for Takeout/Delivery,-,Yes
Colorado,Yes,Rolled Back to High Risk Groups,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes
Connecticut,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes
Delaware,Yes,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes
District of Columbia,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes
Florida,Yes,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes
Georgia,Yes,Rolled Back to High Risk Groups,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes
Hawaii,Yes,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Limited Dine-in Service,-,Yes
Idaho,Yes,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Recommended Closure,Reopened to Dine-in Service with Capacity Limits,-,Yes
Illinois,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Closed for School Year,Closed Except for Takeout/Delivery,-,Yes
Indiana,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Closed,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes
Iowa,Yes,-,-,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service,-,Yes
Kansas,Yes,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service ,-,Yes
Kentucky,Yes,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Below 25,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes
Louisiana,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes
Maine,Yes,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Recommended Closure for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes
Maryland,Yes,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes
Massachusetts,Yes,Rolled Back to High Risk Groups,All Travelers,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Closed Except for Takeout/Delivery,-,Yes
Michigan,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes
Minnesota,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,-,Yes
Mississippi,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Closed for School Year,Reopened to Dine-in Service with Capacity Limits,Postponed,Yes
Missouri,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Closed for School Year,Reopened to Dine-in Service,-,Yes
