,State Is Easing Social Distancing Measures,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Face Covering Requirement,School Closures,Primary Election Postponement,Emergency Declaration
,Text--narrow,Text--narrow,Text--narrow,Text,Text--narrow,Text,Text--narrow,Text,Text--narrow,Text--narrow
United States,Yes (51),Original Stay at Home Order in Place (6); Stay at Home Order Eased or Lifted (39); No Action (6),Original Traveler Quarantine Mandate in Place (9); New Traveler Quarantine Mandate in Place (3); Traveler Quarantine Mandate Eased or Lifted (16); No Action (23),Some or All Non-Essential Businesses Permitted to Reopen (46); No Action (5),Original Gathering Ban/Limit in Place (6); Gathering Ban/Limit Expanded or Lifted (44); No Action (1),Original Restaurant Closures Still in Place (2); Restaurants Reopened to Dine-in Service (48); No Action (1),Required for General Public (19); Required for Certain Employees (20); Allows Local Officals to Require for General Public (4); No Action (9),Closed (6); Closed for School Year (37); Recommended Closure (1); Recommended Closure for School Year (6); Rescinded (1),Postponed (15); No (36),Yes (51); No (0)
Alabama,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service,Required for Certain Employees,Closed for School Year,-,Yes
Alaska,Yes,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service ,Required for Certain Employees,Closed for School Year,-,Yes
Arizona,Yes,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,"Required for Certain Employees;
Allows Local Officials to Require for General Public",Closed for School Year,-,Yes
Arkansas,Yes,-,Lifted,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed for School Year,-,Yes
California,Yes,Statewide,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Recommended Closure for School Year,-,Yes
Colorado,Yes,Rolled Back to High Risk Groups,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed for School Year,-,Yes
Connecticut,Yes,Lifted,From Certain States (New),All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,Postponed,Yes
Delaware,Yes,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,Postponed,Yes
