,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures,Face Covering Requirement,School Closures,Primary Election Postponement,Emergency Declaration
,Text--narrow,Text--narrow,Text--narrow,Text,Text--narrow,Text,Text,Text--narrow,Text,Text--narrow,Text--narrow
United States,Proceeding (27); Paused (11); New Restrictions Imposed (6); Reopened (7),Original Stay at Home Order in Place (6); Stay at Home Order Eased or Lifted (39); No Action (6),Original Traveler Quarantine Mandate in Place (9); New Traveler Quarantine Mandate in Place (3); Traveler Quarantine Mandate Eased or Lifted (16); No Action (23),Some or All Non-Essential Businesses Permitted to Reopen (44); New Business Closures or Limits (2); No Action (5),Original Gathering Ban/Limit in Place (6); Gathering Ban/Limit Expanded or Lifted (42); New Gathering Ban/Limit in Place (2): No Action (1),Restaurants Reopened to Dine-in Service (50); No Action (1),Closed (9); Reopened (36); Newly Closed (6),Required for General Public (20); Required for Certain Employees (20); Allows Local Officals to Require for General Public (4); No Action (8),Closed (6); Closed for School Year (37); Recommended Closure (1); Recommended Closure for School Year (6); Rescinded (1),Postponed (15); No (36),Yes (51); No (0)
Alabama,Paused,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Closed for School Year,-,Yes
Alaska,Proceeding with Reopening,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service ,Reopened,Required for Certain Employees,Closed for School Year,-,Yes
Arizona,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Newly Closed,"Required for Certain Employees;
Allows Local Officials to Require for General Public",Closed for School Year,-,Yes
Arkansas,Paused,-,Lifted,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Closed for School Year,-,Yes
California,New Restrictions Imposed,Statewide,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Recommended Closure for School Year,-,Yes
Colorado,New Restrictions Imposed,Rolled Back to High Risk Groups,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for Certain Employees,Closed for School Year,-,Yes
Connecticut,Proceeding with Reopening,Lifted,From Certain States (New),All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Closed for School Year,Postponed,Yes
Delaware,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Closed for School Year,Postponed,Yes
District of Columbia,Proceeding with Reopening,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Closed for School Year,-,Yes
Florida,New Restrictions Imposed,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for Certain Employees,Recommended Closure for School Year,-,Yes
Georgia,Proceeding with Reopening,Rolled Back to High Risk Groups,-,All Non-Essential Businesses Permitted to Reopen ,Expanded to New Limit Above 25,Reopened to Dine-in Service ,Reopened,Required for Certain Employees,Closed for School Year,Postponed,Yes
Hawaii,Proceeding with Reopening,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Required for General Public,Closed for School Year,-,Yes
Idaho,Paused,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,-,Recommended Closure,-,Yes
Illinois,Proceeding with Reopening,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Closed for School Year,-,Yes
Indiana,Proceeding with Reopening,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Closed,Postponed,Yes
Iowa,Reopened,-,-,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Closed for School Year,-,Yes
Kansas,Reopened,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service ,Reopened,Required for General Public,Closed for School Year,-,Yes
Kentucky,Proceeding with Reopening,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Recommended Closure for School Year,Postponed,Yes
Louisiana,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Closed for School Year,Postponed,Yes
Maine,Proceeding with Reopening,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Recommended Closure for School Year,Postponed,Yes
Maryland,Proceeding with Reopening,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Closed for School Year,Postponed,Yes
Massachusetts,Proceeding with Reopening,Rolled Back to High Risk Groups,All Travelers,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Reopened to Dine-in Service,Closed,Required for General Public,Closed for School Year,-,Yes
Michigan,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Closed for School Year,-,Yes
Minnesota,Proceeding with Reopening,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Closed for School Year,-,Yes
Mississippi,Proceeding with Reopening,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Closed for School Year,Postponed,Yes
Missouri,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,-,Closed for School Year,-,Yes
Montana,Proceeding with Reopening,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,-,Rescinded,-,Yes
Nebraska,Proceeding with Reopening,-,Rolled Back to International Travel,-,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Closed,-,Yes
Nevada,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Closed for School Year,-,Yes
New Hampshire,Proceeding with Reopening,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Closed for School Year,-,Yes
New Jersey,Paused,Lifted,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Closed,Postponed,Yes
New Mexico,Paused,Statewide,All Air Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for Certain Employees,Closed for School Year,-,Yes
New York,Proceeding with Reopening,Statewide,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Closed for School Year,Postponed,Yes
North Carolina,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Closed,-,Yes
North Dakota,Reopened,-,All Travelers,All Non-Essential Businesses Permitted to Reopen,-,Reopened to Dine-in Service,Reopened,- ,Closed,-,Yes
Ohio,Proceeding with Reopening,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Closed for School Year,Postponed,Yes
Oklahoma,Reopened,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,-,Closed for School Year,-,Yes
Oregon,Proceeding with Reopening,Statewide,-,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Required for General Public (New),Closed for School Year,-,Yes
Pennsylvania,Proceeding with Reopening,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Closed for School Year,-,Yes
Rhode Island,Proceeding with Reopening,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Closed,Postponed,Yes
South Carolina,Reopened,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Closed for School Year,-,Yes
South Dakota,Reopened,-,-,-,Lifted,-,Reopened,-,Recommended Closure for School Year,-,Yes
Tennessee,Proceeding with Reopening,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,-,Recommended Closure for School Year,-,Yes
Texas,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Allows Local Officals to Require for General Public,Closed for School Year,-,Yes
Utah,Proceeding with Reopening,Lifted,Lifted,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Closed for School Year,-,Yes
Vermont,Proceeding with Reopening,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Closed for School Year,-,Yes
Virginia,Proceeding with Reopening,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service,Closed,Required for General Public,Closed for School Year,-,Yes
Washington,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,Other,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Closed for School Year,-,Yes
West Virginia,Proceeding with Reopening,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Closed for School Year,Postponed,Yes
Wisconsin,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,-,Closed for School Year,-,Yes
Wyoming,Proceeding with Reopening,-,Lifted,-,Expanded to New Limit Above 25,Reopened to Dine-in Service ,Reopened,Required for Certain Employees,Closed for School Year,-,Yes
