,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures,Face Covering Requirement,Primary Election Postponement,Emergency Declaration
,Yes/No,Text--narrow,Text--narrow,Text,Text--narrow,Text,Text,Text--narrow,Text--narrow,Text--narrow
United States,Proceeding (17); Paused (7); New Restrictions Imposed (20); Reopened (7),Original Stay at Home Order in Place (1); Stay at Home Order Eased or Lifted (44); No Action (6),Original Traveler Quarantine Mandate in Place (9); New Traveler Quarantine Mandate in Place (4); Traveler Quarantine Mandate Eased or Lifted (16); No Action (23),Some or All Non-Essential Businesses Permitted to Reopen (42); New Business Closures or Limits (4); No Action (5),Original Gathering Ban/Limit in Place (4); Gathering Ban/Limit Expanded or Lifted (36); New Gathering Ban/Limit in Place (10): No Action (1),Restaurants Reopened to Dine-in Service (41); Newly Closed to Dine-in Service (1); New Service Limits (8); No Action (1),Closed (9); Reopened (27); Newly Closed (9); New Service Limits (6),Required for General Public (33); Required for Certain Employees (10); Allows Local Officals to Require for General Public (4); No Action (5),Postponed (15); No (36),Yes (51); No (0)
Alabama,Paused,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,-,Yes
Alaska,Proceeding with Reopening,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service ,Reopened,Required for Certain Employees,-,Yes
Arizona,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,New Service Limits,Newly Closed,"Required for Certain Employees;
Allows Local Officials to Require for General Public",-,Yes
Arkansas,Paused,-,Lifted,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,-,Yes
California,New Restrictions Imposed,Statewide,-,New Business Closures or Limits,All Gatherings Prohibited,Newly Closed to Dine-in Service,Newly Closed,Required for General Public,-,Yes
Colorado,New Restrictions Imposed,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,-,Yes
Connecticut,Proceeding with Reopening,Lifted,From Certain States (New),All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Postponed,Yes
Delaware,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Postponed,Yes
District of Columbia,Proceeding with Reopening,Lifted,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,-,Yes
