,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures,Face Covering Requirement,Emergency Declaration
,Yes/No,Text--narrow,Text--narrow,Text,Text--narrow,Text,Text,Text--narrow,Text--narrow
United States,Proceeding (19); Paused (5); New Restrictions Imposed (20); Reopened (7),Original Stay at Home Order in Place (1); Stay at Home Order Eased or Lifted (43); New Stay at Home Order in Place (1); No Action (6),Original Traveler Quarantine Mandate in Place (5); New Traveler Quarantine Mandate in Place (4); Traveler Quarantine Mandate Eased or Lifted (20); No Action (22),Some or All Non-Essential Businesses Permitted to Reopen (42); New Business Closures or Limits (4); No Action (5),Original Gathering Ban/Limit in Place (3); Gathering Ban/Limit Expanded or Lifted (35); New Gathering Ban/Limit in Place (13),"Reopened to Dine-in Service (44), New Service Limits (6), No Action (1)",Closed (8); Reopened (27); Newly Closed (7); New Service Limits (9),Required for General Public (33); Required for Certain Employees (9); Allows Local Officals to Require for General Public (6); No Action (5),Yes (51); No (0)
Alabama,Paused,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Alaska,Proceeding with Reopening,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service ,Reopened,Required for Certain Employees,Yes
Arizona,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,New Service Limits,Newly Closed,"Required for Certain Employees;
Allows Local Officials to Require for General Public",Yes
Arkansas,Paused,-,Lifted,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
California,Proceeding with Reopening,Statewide,-,New Business Closures or Limits,All Gatherings Prohibited,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Yes
Colorado,New Restrictions Imposed,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Yes
Connecticut,Proceeding with Reopening,Lifted,From Certain States (New),All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Delaware,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Yes
District of Columbia,Proceeding with Reopening,Lifted,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Florida,Proceeding with Reopening,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen ,Lifted,Reopened to Dine-in Service ,Reopened,Required for Certain Employees,Yes
Georgia,Proceeding with Reopening,Rolled Back to High Risk Groups,-,All Non-Essential Businesses Permitted to Reopen ,Expanded Limit to Greater Than 25,Reopened to Dine-in Service ,Reopened,"Required for Certain Employees;
Allows Local Officials to Require for General Public",Yes
Hawaii,New Restrictions Imposed,New Stay at Home Order,All Travelers,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,New Service Limits,New Service Limits,Required for General Public,Yes
Idaho,Reopened,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen ,Lifted,Reopened to Dine-in Service ,Reopened,-,Yes
Illinois,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Indiana,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service ,Reopened,Required for General Public,Yes
Iowa,Reopened,-,-,All Non-Essential Businesses Permitted to Reopen,Expanded Limit to Greater Than 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Yes
Kansas,Reopened,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service ,Reopened,Required for General Public,Yes
