,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures*,Face Covering Requirement,Emergency Declaration
,Yes/No,Text--narrow,Text--narrow,Text,Text--narrow,Text,Text,Text--narrow,Text--narrow
United States,Paused (4); New Restrictions Imposed (35); Reopened (12),Stay at Home Order Eased or Lifted (41); New Stay at Home Order in Place (4); No Action (6),Traveler Quarantine Mandate in Place (10); Traveler Quarantine Mandate Eased or Lifted (21); No Action (20),Some or All Non-Essential Businesses Permitted to Reopen (28); New Business Closures or Limits (18); No Action (5),All Gatherings Prohibited (4); >10 Prohibited (19); >25 Prohibited (1); >50 Prohibited (7); No Limit (20),"Reopened to Dine-in Service (29), Newly Closed to Indoor Dining (3); New Service Limits (18), No Action (1)",Closed (14); Reopened (22); New Service Limits (15),Required for General Public (40); Required for Certain Employees (5); Allows Local Officals to Require for General Public (4); No Action (4),Yes (51); No (0)
Alabama,Paused,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,No Limit,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Alaska,Reopened,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service ,Reopened,Required for Certain Employees,Yes
Arizona,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,>50 Prohibited,New Service Limits,New Service Limits,"Required for Certain Employees;
Allows Local Officials to Require for General Public",Yes
Arkansas,Paused,-,Lifted,-,No Limit,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
California,New Restrictions Imposed,During Curfew Hours,-,New Business Closures or Limits,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Colorado,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Connecticut,New Restrictions Imposed,Lifted,From Certain States,New Business Closures or Limits,>10 Prohibited,New Service Limits,Closed,Required for General Public,Yes
Delaware,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Yes
District of Columbia,New Restrictions Imposed,Lifted,From Certain States,New Business Closures or Limits,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Florida,Reopened,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen ,No Limit,Reopened to Dine-in Service ,Reopened,-,Yes
Georgia,Paused,Rolled Back to High Risk Groups,-,All Non-Essential Businesses Permitted to Reopen ,>50 Prohibited,Reopened to Dine-in Service ,Reopened,"Required for Certain Employees;
Allows Local Officials to Require for General Public",Yes
Hawaii,New Restrictions Imposed,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,New Service Limits,Closed,Required for General Public,Yes
Idaho,New Restrictions Imposed,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen ,>50 Prohibited,Reopened to Dine-in Service ,Reopened,Required for Certain Employees,Yes
Illinois,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,>50 Prohibited,Reopened to Dine-in Service ,Reopened,Required for General Public,Yes
Indiana,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen,>50 Prohibited,Reopened to Dine-in Service ,Reopened,Required for General Public,Yes
Iowa,Reopened,-,-,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service ,Reopened,Required for General Public,Yes
Kansas,Reopened,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service ,Reopened,Required for General Public,Yes
Kentucky,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,No Limit,New Service Limits,New Service Limits,Required for General Public,Yes
Louisiana,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>50 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
