,Statewide Face Mask Requirement,Emergency Declaration,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures*
United States, Indoor Only (3); Unvaccinated People Only (6); No (42),Yes (24); No (27),Reopened (50); Imposing New Restrictions (1),Stay at Home Order Lifted (45); No Action (6),Traveler Quarantine Mandate in Place (3); Traveler Quarantine Mandate Lifted (29); No Action (19),All Non-Essential Businesses Open (50); Some or All Non-Essential Businesses Open with Limits (1),>10 Prohibited (1); >50 Prohibited (1); No Limit (49),Open (50); Open with Service Limits (1),Open (50); Open with Service Limits (1)
Alabama,No,No,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Alaska,No,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Arizona,No,Yes,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Arkansas,No,Yes,Reopened,-,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
California,Unvaccinated People Only,Yes,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Colorado,No,No,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Connecticut,Unvaccinated People Only,Yes,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Delaware,No,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,Limit > 50,Open,Open
District of Columbia,Indoor Only,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Florida,No,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Georgia,No,Yes,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Hawaii,Indoor Only,Yes,Imposing New Restrictions,Lifted,All Travelers,All Non-Essential Businesses Open with Limits,>10 Prohibited,Open with Service Limits,Open with Service Limits
Idaho,No,Yes,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Illinois,No,Yes,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Indiana,No,Yes,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Iowa,No,Yes,Reopened,-,-,All Non-Essential Businesses Open,No Limit,Open,Open
Kansas,No,No,Reopened,Lifted,From Certain States,All Non-Essential Businesses Open,No Limit,Open,Open
Kentucky,No,Yes,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Louisiana,Indoor Only,Yes,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Maine,No,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Maryland,No,Yes,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Massachusetts,No,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Michigan,No,No,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Minnesota,No,No,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Mississippi,No,Yes,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Missouri,No,Yes,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
Montana,No,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Nebraska,No,No,Reopened,-,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
Nevada,Unvaccinated People Only,Yes,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
New Hampshire,No,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
New Jersey,No,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
New Mexico,Unvaccinated People Only,Yes,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
New York,Unvaccinated People Only,No,Reopened,Lifted,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
North Carolina,No,No,Reopened,Lifted,-,All Non-Essential Businesses Open,No Limit,Open,Open
North Dakota,No,No,Reopened,-,Lifted,All Non-Essential Businesses Open,No Limit,Open,Open
