,Statewide Face Mask Requirement,Emergency Declaration,Status of Reopening
United States, Indoor Only (3); Unvaccinated People Only (6); No (42),Yes (24); No (27),Reopened (50); Imposing New Restrictions (1)
Alabama,No,No,Reopened
Alaska,No,No,Reopened
Arizona,No,Yes,Reopened
Arkansas,No,Yes,Reopened
California,Unvaccinated People Only,Yes,Reopened
Colorado,No,No,Reopened
Connecticut,Unvaccinated People Only,Yes,Reopened
Delaware,No,No,Reopened
District of Columbia,Indoor Only,No,Reopened
Florida,No,No,Reopened
Georgia,No,Yes,Reopened
Hawaii,Indoor Only,Yes,Imposing New Restrictions
Idaho,No,Yes,Reopened
Illinois,No,Yes,Reopened
Indiana,No,Yes,Reopened
Iowa,No,Yes,Reopened
Kansas,No,No,Reopened
Kentucky,No,Yes,Reopened
Louisiana,Indoor Only,Yes,Reopened
Maine,No,No,Reopened
Maryland,No,Yes,Reopened
Massachusetts,No,No,Reopened
Michigan,No,No,Reopened
Minnesota,No,No,Reopened
Mississippi,No,Yes,Reopened
Missouri,No,Yes,Reopened
Montana,No,No,Reopened
Nebraska,No,No,Reopened
Nevada,Unvaccinated People Only,Yes,Reopened
New Hampshire,No,No,Reopened
New Jersey,No,No,Reopened
New Mexico,Unvaccinated People Only,Yes,Reopened
New York,Unvaccinated People Only,No,Reopened
North Carolina,No,No,Reopened
North Dakota,No,No,Reopened
Ohio,No,No,Reopened
Oklahoma,No,No,Reopened
Oregon,No,No,Reopened
Pennsylvania,No,No,Reopened
Rhode Island,No,Yes,Reopened
South Carolina,No,No,Reopened
South Dakota,No,No,Reopened
Tennessee,No,No,Reopened
Texas,No,Yes,Reopened
Utah,No,Yes,Reopened
Vermont,No,No,Reopened
Virginia,No,Yes,Reopened
Washington,Unvaccinated People Only,Yes,Reopened
West Virginia,No,Yes,Reopened
Wisconsin,No,No,Reopened
Wyoming,No,Yes,Reopened
