"State","Date","CumulativeCases","CumulativeDeaths","CumulativeTests","CumulativePositives","CurrentHospitalizations","CasesDailyChange","DeathsDailyChange","TestsDailyChange","PositivesDailyChange","CurrHospDailyChange","Rolling Avg Change in Cases (7 Days)","Rolling Avg Change in Deaths (7 Days)","Rolling Avg Change in Tests (7 Days)","Rolling Avg Change in Positives (7 Days)","Change in Cases (7 Days)","Change in Deaths (7 Days)","Change in Tests (7 Days)","Change in Current Hospitalizations (7 Days)","Pct Change in Cases (2 Wks - Rolling)","Pct Change in Deaths (2 Wks - Rolling)","Pct Change in Tests (2 Wks - Rolling)","Pct Change in Positives (2 Wks - Rolling)","Change in Tests (7 Days) Over Pop","Positivity Rate (7 Days - Rolling)"
"Alabama",2020-03-01,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-02,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-03,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-04,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-05,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-06,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-07,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-08,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-09,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-10,0,0,0,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-11,0,0,10,0,NA,0,0,10,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-12,0,0,10,0,NA,0,0,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama",2020-03-13,5,0,12,1,NA,5,0,2,1,NA,0.714285714285714,0,1.71428571428571,0.142857142857143,5,0,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333
"Alabama",2020-03-14,7,0,28,6,NA,2,0,16,5,NA,1,0,4,0.857142857142857,7,0,28,NA,NA,NA,NA,NA,5.71057384128888e-06,0.214285714285714
"Alabama",2020-03-15,11,0,40,12,NA,4,0,12,6,NA,1.57142857142857,0,5.71428571428571,1.71428571428571,11,0,40,NA,NA,NA,NA,NA,8.15796263041268e-06,0.3
"Alabama",2020-03-16,29,0,56,28,NA,18,0,16,16,NA,4.14285714285714,0,8,4,29,0,56,NA,NA,NA,NA,NA,1.14211476825778e-05,0.5
"Alabama",2020-03-17,39,0,64,36,NA,10,0,8,8,NA,5.57142857142857,0,9.14285714285714,5.14285714285714,39,0,64,NA,NA,NA,NA,NA,1.30527402086603e-05,0.5625
"Alabama",2020-03-18,51,0,74,46,NA,12,0,10,10,NA,7.28571428571429,0,9.14285714285714,6.57142857142857,51,0,64,NA,NA,NA,NA,NA,1.30527402086603e-05,0.71875
"Alabama",2020-03-19,78,0,96,68,NA,27,0,22,22,NA,11.1428571428571,0,12.2857142857143,9.71428571428571,78,0,86,NA,NA,NA,NA,NA,1.75396196553873e-05,0.790697674418605
"Alabama",2020-03-20,106,0,109,81,NA,28,0,13,13,NA,14.4285714285714,0,13.8571428571429,11.4285714285714,101,0,97,NA,NA,NA,NA,NA,1.97830593787508e-05,0.824742268041237
"Alabama",2020-03-21,131,0,152,124,NA,25,0,43,43,NA,17.7142857142857,0,17.7142857142857,16.8571428571429,124,0,124,NA,NA,NA,3.42857142857143,NA,2.52896841542793e-05,0.951612903225806
"Alabama",2020-03-22,157,0,1602,138,NA,26,0,1450,14,NA,20.8571428571429,0,223.142857142857,18,146,0,1562,NA,Inf,NA,38.05,NA,0.000318568440717615,0.0806658130601793
