"state","date","cases","deaths","casechange","deathchange","hospitalizedCurrently","hospitalizedCumulative","tests","test_cat","test_change","test_means","death_mean","case_means","pos_rate","pct_change_weekly_tests_7","pct_change_weekly_tests_14","pct_change_weekly_cases_7","pct_change_weekly_cases_14","pct_change_weekly_deaths_7","pct_change_weekly_deaths_14","pct_change_positivity_rate_7","pct_change_positivity_rate_14","pop","rp2","case_permill","death_permill","test_permill"
"Alabama",2020-04-01,1060,27,NA,NA,258,NA,NA,"Tests with Unclear Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,NA,NA,NA
"Alabama",2020-04-02,1233,32,173,5,226,NA,NA,"Tests with Unclear Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,NA,NA,NA
"Alabama",2020-04-03,1495,38,262,6,238,NA,NA,"Tests with Unclear Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,NA,NA,NA
"Alabama",2020-04-04,1614,44,119,6,238,212,NA,"Tests with Unclear Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,NA,NA,NA
"Alabama",2020-04-05,1765,45,151,1,282,231,NA,"Tests with Unclear Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,NA,NA,NA
"Alabama",2020-04-06,1952,49,187,4,297,240,NA,"Tests with Unclear Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,NA,NA,NA
"Alabama",2020-04-07,2169,64,217,15,302,271,NA,"Tests with Unclear Units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,NA,NA,NA
"Alabama",2020-04-08,2328,66,159,2,308,314,NA,"Tests with Unclear Units",NA,NA,5.57142857142857,181.142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,36.9439164834403,1.13628765209319,NA
"Alabama",2020-04-09,2703,70,375,4,324,333,NA,"Tests with Unclear Units",NA,NA,5.42857142857143,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,42.8293038096666,1.10715207127029,NA
"Alabama",2020-04-10,2947,80,244,10,350,368,NA,"Tests with Unclear Units",NA,NA,6,207.428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,4903185,NA,42.3048633548543,1.2236943945619,NA
