Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Anguilla,2026-06-21,3904,,12,,,Region of the Americas,15753,,247825.810956643,761.759664825748,,,18263907,105690,0,0,,,,,193895739,3077103,1544,16,188935.505773276,2998.38467116323,1.50450145226729,0.0155906886245315
Afghanistan,2026-06-21,235214,,7998,,Low income,Eastern Mediterranean Region,40099462,,5865.76448332399,199.454047538094,,,1905764,43239,0,0,2653.32480659461,60.2000621862647,0,0,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Armenia,2026-06-21,454903,0,8785,,Upper middle income,European Region,2790974,,162990.769530637,3147.64666385283,0,,241020594,2672512,3492,0,95648.2685671422,1060.57802481771,1.38578927341147,0,281542569,2282853,337,0,302470.867059197,2452.54750900099,0.362050692941391,0
United Arab Emirates,2026-06-21,1067030,,2349,,High income,Eastern Mediterranean Region,9365145,,113936.303175231,250.823665837528,,,457904373,3503364,390,16,367627.679946373,2812.6693154067,0.313110779527509,0.0128455704421542,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
Austria,2026-06-21,6083791,0,22534,,High income,European Region,8922082,,681880.193434671,2525.64367823564,0,,457904373,3503364,390,16,367627.679946373,2812.6693154067,0.313110779527509,0.0128455704421542,281542569,2282853,337,0,302470.867059197,2452.54750900099,0.362050692941391,0
Azerbaijan,2026-06-21,836510,,10353,,Upper middle income,European Region,10312992,,81112.2514203444,1003.87937855474,,,241020594,2672512,3492,0,95648.2685671422,1060.57802481771,1.38578927341147,0,281542569,2282853,337,0,302470.867059197,2452.54750900099,0.362050692941391,0
Aruba,2026-06-21,44224,,292,,High income,Region of the Americas,106537,,415104.611543408,2740.83182368567,,,457904373,3503364,390,16,367627.679946373,2812.6693154067,0.313110779527509,0.0128455704421542,193895739,3077103,1544,16,188935.505773276,2998.38467116323,1.50450145226729,0.0155906886245315
Burundi,2026-06-21,54569,,15,,Low income,African Region,12551213,,4347.70726940894,1.19510361269465,,,1905764,43239,0,0,2653.32480659461,60.2000621862647,0,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Angola,2026-06-21,107487,,1937,,Lower middle income,African Region,34503774,,3115.22443892659,56.1387864411586,,,60700517,796870,14,0,17870.1409608324,234.597330158794,0.00412157895544207,0,9051407,174424,0,0,7785.09850230738,150.02176138654,0,0
Bangladesh,2026-06-21,2052280,,29531,,Lower middle income,South-East Asia Region,169356251,,12118.1237059859,174.372069679318,,,60700517,796870,14,0,17870.1409608324,234.597330158794,0.00412157895544207,0,61965773,809348,2015,0,30132.0669856985,393.561267294142,0.979833092313438,0
Belgium,2026-06-21,4908296,13,34339,,High income,European Region,11611419,,422712.848446861,2957.34741808904,1.11958753706158,,457904373,3503364,390,16,367627.679946373,2812.6693154067,0.313110779527509,0.0128455704421542,281542569,2282853,337,0,302470.867059197,2452.54750900099,0.362050692941391,0
Andorra,2026-06-21,48015,,159,,High income,European Region,79034,,607523.34438343,2011.79239314725,,,457904373,3503364,390,16,367627.679946373,2812.6693154067,0.313110779527509,0.0128455704421542,281542569,2282853,337,0,302470.867059197,2452.54750900099,0.362050692941391,0
Caribbean Netherlands,2026-06-21,11922,,41,,,Region of the Americas,26706,,446416.535609975,1535.23552759679,,,18263907,105690,0,0,,,,,193895739,3077103,1544,16,188935.505773276,2998.38467116323,1.50450145226729,0.0155906886245315
Bahrain,2026-06-21,696614,,1536,,High income,Eastern Mediterranean Region,1463265,,476068.244644682,1049.70733257476,,,457904373,3503364,390,16,367627.679946373,2812.6693154067,0.313110779527509,0.0128455704421542,23417911,351975,0,0,30756.0421139575,462.268300663548,0,0
